,총학생수,전체인구수,교원수총계,학급수총계,학급당학생수,교원당학생수,전체직원수,교지면적,학생1인당교지면적,학원수,학교수,법정동코드,인구수대비학생수
0,135,5445.0,18,12,11.3,7.5,11,11582,82.1,6.0,1,28110118,0.024793388429752067
1,489,238.0,20,18,27.2,24.5,9,2242,4.5,0.0,1,28110120,2.0546218487394956
2,387,1241.0,36,24,16.1,10.8,19,15683,40.2,11.0,1,28110125,0.31184528605962936
3,1046,6400.0,70,52,39.4,29.200000000000003,41,23531,52.2,14.0,2,28110128,0.1634375
4,195,2062.0,24,14,13.9,8.1,14,21253,109.6,1.0,1,28110137,0.09456838021338507
5,4075,49859.0,221,157,77.5,55.0,78,41769,34.0,522.0,3,28110145,0.08173047995346878
6,1511,21494.0,91,66,43.4,30.9,31,26911,46.7,44.0,2,28110146,0.07029868800595515
7,1720,36515.0,119,80,65.1,43.2,58,37235,65.3,144.0,3,28110147,0.047103929891825276
8,71,3404.0,9,7,10.1,7.9,6,8699,120.8,0.0,1,28110148,0.020857814336075205
9,51,836.0,12,7,7.3,4.3,8,9710,183.2,0.0,1,28110150,0.061004784688995214
10,354,6835.0,31,20,17.7,11.4,19,8764,23.7,7.0,1,28140102,0.05179224579370885
11,518,16931.0,41,26,19.9,12.6,19,17001,31.6,27.0,1,28140103,0.03059476699545213
12,540,656.0,35,27,40.3,32.1,17,22595,86.7,0.0,2,28140105,0.823170731707317
13,1844,25458.0,127,92,81.5,60.0,58,49713,107.6,84.0,4,28140107,0.072433026946343
14,1524,44820.0,97,68,40.2,28.0,46,27927,63.3,68.0,2,28177101,0.03400267737617135
15,3853,87932.0,239,167,90.4,63.199999999999996,94,61172,72.1,704.0,4,28177102,0.043817950234271937
16,2496,47355.0,170,121,99.6,70.5,90,63091,158.79999999999998,435.0,5,28177103,0.052708267342413684
17,2734,52444.0,184,123,65.0,43.0,69,41443,50.6,159.0,3,28177104,0.05213179772709938
