,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",학교세부유형,학교운영상특례,학교명,학교명(영문명),본분교,설립,주야,"남녀공학
구분",상태,지역규모,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,학교수,일반학급_학급수,일반학급_학생수_계,일반학급_학생수_남,일반학급_학생수_여,특수학급_학급수,특수학급_학생수_계,특수학급_학생수_남,특수학급_학생수_여,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규_계,교원수_정규_남,교원수_정규_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제교원_계,교원수_기간제교원_남,교원수_기간제교원_여,교원1인당 학생수,전체직원_계,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규 직원_여,전출,전입,입학자_계,입학자_남,입학자_여,졸업자_계,졸업자_남,졸업자_여,진학자_계,진학자_남,진학자_여,"진학률
_전체(%)",취업자_계,취업자_남,취업자_여,입대자_계,입대자_남,기타_계,기타_남,기타_여,국내_전문대학_계,국내_전문대학_남,국내_전문대학_여,국내_대학_계,국내_대학_남,국내_대학_여,국외_전문대학_계,국외_전문대학_남,국외_전문대학_여,국외_대학_계,국외_대학_남,국외_대학_여,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적",lat,lon
0,20230401,인천,계양구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,서운고등학교,SEOWOON HIGH School,본교,공립,주간,남여공학,기존(원)교,특별/광역시,20020301.0,21074,인천광역시 계양구 아나지로 481(서운동),032 -542 -6662,032 -542 -7431,http://seowoon.icehs.kr,1,22,591,283,308,2,11,9,2,24,9,7,8,0,0,0,602,292,310,236,117,119,198,85,113,168,90,78,0,0,0,0,0,0,0,0,0,25.1,52,15.0,37.0,45,14.0,31.0,1,1,0,1,1,0,0,0,0,12,5,7,28,6,22,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,6,11.6,14,3,11,3,2,1,4,12,233,116,117,200,91,109,184,82,102,92.0,3,2,1,0,0,13,7,6,53,24,29,131,58,73,0,0,0,0,0,0,24,17,3,0,2,20120,33.4,126.745747357758,37.5269145380024
1,20230401,인천,서구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,가정고등학교,Gajeong High School,본교,공립,주간,남여공학,기존(원)교,특별/광역시,19960301.0,22799,인천광역시 서구 서달로 162(석남동),032 -579 -9188,032 -579 -9189,http://gajeong.icehs.kr,1,32,904,454,450,2,13,10,3,34,12,11,11,0,0,0,917,464,453,345,176,169,301,155,146,271,133,138,0,0,0,0,0,0,0,0,0,27.0,75,17.0,58.0,67,15.0,52.0,1,1,0,1,1,0,0,0,0,13,6,7,48,7,41,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,2,6,12.2,18,4,14,5,2,3,6,11,343,178,165,247,109,138,181,79,102,73.3,32,14,18,2,2,32,14,18,63,28,35,118,51,67,0,0,0,0,0,0,34,0,4,0,2,17137,18.7,126.679863856962,37.5132136571325
2,20230401,인천,서구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,가림고등학교,Garim High School,본교,공립,주간,남여공학,기존(원)교,특별/광역시,20030301.0,22815,인천광역시 서구 원적로 58(가좌동),032 -584 -1755,032 -584 -1756,http://garim.icehs.kr,1,34,879,475,404,2,10,8,2,36,13,11,12,0,0,0,889,483,406,328,170,158,318,185,133,243,128,115,0,0,0,0,0,0,0,0,0,24.7,75,21.0,54.0,66,19.0,47.0,1,1,0,1,1,0,0,0,0,12,5,7,48,12,36,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,9,2,7,11.9,16,2,14,3,1,2,12,13,337,175,162,266,157,109,215,129,86,80.8,0,0,0,0,0,51,28,23,60,34,26,155,95,60,0,0,0,0,0,0,36,3,11,0,0,14618,16.4,126.681201516564,37.4926192873524
3,20230401,인천,계양구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,인천예일고등학교,Incheon Yeil High School,본교,공립,주간,남여공학,기존(원)교,특별/광역시,20040301.0,21021,인천광역시 계양구 박촌로 23(방축동),032 -555 -6307,032 -555 -6304,http://yeil.icehs.kr,1,24,609,265,344,2,13,10,3,26,8,9,9,0,0,0,622,275,347,212,95,117,203,91,112,207,89,118,0,0,0,0,0,0,0,0,0,23.9,61,10.0,51.0,51,6.0,45.0,1,0,1,1,1,0,0,0,0,13,3,10,33,2,31,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,4,6,10.2,20,5,15,5,4,1,9,4,209,95,114,214,98,116,165,70,95,77.1,10,4,6,0,0,39,24,15,58,30,28,107,40,67,0,0,0,0,0,0,28,5,12,0,0,14696,23.6,126.741405689405,37.5542617390827
4,20230401,인천,남동구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,인천논현고등학교,Incheon Nonhyeon High School,본교,공립,주간,여자,기존(원)교,특별/광역시,20060301.0,21665,인천광역시 남동구 청능대로611번길 54. 인천논현고등학교 (논현동),032 -446 -0634,032 -446 -0594,http://nh.icehs.kr,1,28,795,0,795,1,6,0,6,29,10,10,9,0,0,0,801,0,801,299,0,299,255,0,255,247,0,247,0,0,0,0,0,0,0,0,0,27.6,63,21.0,42.0,55,18.0,37.0,1,1,0,1,1,0,0,0,0,12,7,5,39,9,30,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,3,5,12.7,17,2,15,3,1,2,10,4,298,0,298,248,0,248,244,0,244,98.4,0,0,0,0,0,4,0,4,81,0,81,163,0,163,0,0,0,0,0,0,28,4,8,0,4,11989,15.0,126.726998731716,37.4039186938338
5,20230401,인천,부평구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,인천상정고등학교,Incheon sangjeong High School,본교,공립,주간,남자,기존(원)교,특별/광역시,20090301.0,21447,인천광역시 부평구 경원대로 1109(십정동),032 -714 -8666,032 -714 -8517,http://incheonsangjeong.icehs.kr,1,21,510,510,0,1,1,1,0,22,7,8,7,0,0,0,511,511,0,183,183,0,174,174,0,154,154,0,0,0,0,0,0,0,0,0,0,23.2,45,14.0,31.0,42,14.0,28.0,1,0,1,1,1,0,0,0,0,13,7,6,25,5,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,11.4,16,3,13,4,2,2,3,10,181,181,0,183,183,0,148,148,0,80.9,0,0,0,0,0,35,35,0,25,25,0,123,123,0,0,0,0,0,0,0,25,6,6,0,0,13784,27.0,126.696380995833,37.4807189773685
6,20230401,인천,계양구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,인천세원고등학교,Incheon Sewon High School,본교,공립,주간,여자,기존(원)교,특별/광역시,20090301.0,21028,인천광역시 계양구 장제로 966(병방동.인천세원고등학교),032 -554 -2360,032 -554 -2361,http://isw.icehs.kr,1,23,547,0,547,1,6,0,6,24,7,8,9,0,0,0,553,0,553,185,0,185,194,0,194,174,0,174,0,0,0,0,0,0,0,0,0,23.0,54,10.0,44.0,48,9.0,39.0,1,1,0,1,0,1,1,0,1,12,4,8,29,4,25,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,6,1,5,10.2,16,2,14,5,2,3,6,7,181,0,181,196,0,196,158,0,158,80.6,5,0,5,0,0,33,0,33,58,0,58,100,0,100,0,0,0,0,0,0,24,7,8,0,0,13067,23.6,126.744709250169,37.5516139640216
7,20230401,인천,강화군,인천시,고등학교,일반고등학교,일반고등학교,해당없음,강화고등학교,Ganghwa High School,본교,공립,주간,남자,기존(원)교,특수지역,19450510.0,23028,인천광역시 강화군 강화읍 고비고개로 20(강화읍),032 -724 -2300,032 -724 -2310,http://ganghwahs.icehs.kr,1,18,466,466,0,2,9,9,0,20,6,7,7,0,0,0,475,475,0,164,164,0,154,154,0,157,157,0,0,0,0,0,0,0,0,0,0,23.8,43,17.0,26.0,41,16.0,25.0,1,1,0,1,1,0,0,0,0,13,8,5,21,6,15,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,1,1,11.0,20,4,16,4,2,2,6,6,155,155,0,139,139,0,113,113,0,81.3,4,4,0,0,0,22,22,0,18,18,0,95,95,0,0,0,0,0,0,0,20,2,7,0,2,28259,59.5,126.473813764116,37.7480284562792
8,20230401,인천,강화군,인천시,고등학교,일반고등학교,일반고등학교,해당없음,강화여자고등학교,Ganghwa Girls' High School,본교,공립,주간,여자,기존(원)교,특수지역,19550325.0,23029,인천광역시 강화군 강화읍 송악길 58(강화읍),032 -933 -3554,032 -933 -0802,http://ganghwagirls.icehs.kr,1,21,466,0,466,1,6,0,6,22,7,7,8,0,0,0,472,0,472,164,0,164,146,0,146,162,0,162,0,0,0,0,0,0,0,0,0,21.5,48,19.0,29.0,44,19.0,25.0,1,1,0,1,1,0,0,0,0,13,9,4,25,8,17,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,4,0,4,9.8,19,3,16,4,3,1,8,9,162,0,162,169,0,169,143,0,143,84.6,0,0,0,0,0,26,0,26,20,0,20,123,0,123,0,0,0,0,0,0,22,2,4,0,0,38269,81.1,126.479483094626,37.7537861572864
9,20230401,인천,서구,인천시,고등학교,일반고등학교,일반고등학교,해당없음,검단고등학교,Geomdan High School,본교,공립,주간,여자,기존(원)교,특별/광역시,20020301.0,22633,인천광역시 서구 검단로540번길 7(마전동),032 -567 -7831,032 -567 -7834,http://geomdan.icehs.kr,1,30,811,0,811,1,3,0,3,31,10,10,11,0,0,0,814,0,814,310,0,310,236,0,236,268,0,268,0,0,0,0,0,0,0,0,0,26.3,70,25.0,45.0,59,19.0,40.0,1,0,1,1,0,1,0,0,0,12,9,3,43,10,33,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,6,5,11.6,16,2,14,4,1,3,4,18,312,0,312,282,0,282,260,0,260,92.2,15,0,15,0,0,7,0,7,60,0,60,200,0,200,0,0,0,0,0,0,31,4,7,0,0,12488,15.3,126.664741443978,37.6038622513597
