,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",학교세부유형,학교운영상특례,학교명,학교명(영문명),본분교,설립,주야,"남녀공학
구분",상태,지역규모,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,학교수,일반학급_학급수,일반학급_학생수_계,일반학급_학생수_남,일반학급_학생수_여,특수학급_학급수,특수학급_학생수_계,특수학급_학생수_남,특수학급_학생수_여,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규_계,교원수_정규_남,교원수_정규_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제교원_계,교원수_기간제교원_남,교원수_기간제교원_여,교원1인당 학생수,전체직원_계,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규 직원_여,전출,전입,입학자_계,입학자_남,입학자_여,졸업자_계,졸업자_남,졸업자_여,진학자_계,진학자_남,진학자_여,"진학률
_전체(%)",취업자_계,취업자_남,취업자_여,입대자_계,입대자_남,기타_계,기타_남,기타_여,국내_전문대학_계,국내_전문대학_남,국내_전문대학_여,국내_대학_계,국내_대학_남,국내_대학_여,국외_전문대학_계,국외_전문대학_남,국외_전문대학_여,국외_대학_계,국외_대학_남,국외_대학_여,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적",lat,lon
0,20230401,인천,중구,남부,중학교,,일반중학교,해당없음,인천공항중학교,Incheon Gong-Hang Middle School,본교,공립,주간,남여공학,기존(원)교,특별/광역시,20020305.0,22368,인천광역시 중구 영종대로27번길 49. 인천공항중학교 (운서동. 인천공항중학교),032 -746 -3703,032 -746 -3706,http://gonghang.icems.kr,1,30,826,405,421,2,8,6,2,32,11,11,10,0,0,0,834,411,423,241,110,131,283,146,137,310,155,155,0,0,0,0,0,0,0,0,0,26.1,56,17.0,39.0,42,13.0,29.0,1,1,0,1,1,0,0,0,0,12,5,7,24,5,19,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14,4,10,14.9,18,2,16,3,1,2,20,30,240,109,131,341,183,158,341,183,158,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,6,1,2,12000,14.4,126.484163869893,37.4977478540628
1,20230401,인천,미추홀구,남부,중학교,,일반중학교,해당없음,관교중학교,Gwangyo Middle School,본교,공립,주간,남자,기존(원)교,특별/광역시,19900301.0,22240,인천광역시 미추홀구 경원대로670번길 19(관교동. 관교중학교),032 -435 -0345,032 -434 -6722,http://www.kwangyo.icems.kr,1,30,867,867,0,2,19,19,0,32,10,10,12,0,0,0,886,886,0,295,295,0,309,309,0,282,282,0,0,0,0,0,0,0,0,0,0,27.7,62,23.0,39.0,42,13.0,29.0,1,1,0,1,0,1,1,0,1,7,1,6,28,11,17,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,20,10,10,14.3,19,3,16,3,1,2,13,13,297,297,0,288,288,0,288,288,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,0,3,15223,17.2,126.691777428913,37.4442570318499
2,20230401,인천,미추홀구,남부,중학교,,일반중학교,해당없음,관교여자중학교,Gwangyo Girls Middle School,본교,공립,주간,여자,기존(원)교,특별/광역시,19831230.0,22232,인천광역시 미추홀구 경원대로 691(관교동. 관교여자중학교),032 -434 -2763,032 -438 -0277,http://igg.icems.kr/,1,26,568,0,568,1,9,0,9,27,9,9,9,0,0,0,577,0,577,195,0,195,189,0,189,193,0,193,0,0,0,0,0,0,0,0,0,21.4,51,13.0,38.0,37,11.0,26.0,1,1,0,1,1,0,0,0,0,12,2,10,20,7,13,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14,2,12,11.3,18,2,16,4,1,3,12,9,196,0,196,215,0,215,215,0,215,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,8,0,4,15853,27.5,126.688640668248,37.4449567346083
3,20230401,인천,미추홀구,남부,중학교,,일반중학교,해당없음,인천남중학교,Incheon Nam Middle School,본교,공립,주간,남자,기존(원)교,특별/광역시,19460927.0,22163,인천광역시 미추홀구 수봉로 16-23(숭의동. 인천남 중학교),032 -882 -2503,032 -882 -8180,http://icnamjung.icems.kr,1,18,400,400,0,3,16,16,0,21,7,7,7,0,0,0,416,416,0,139,139,0,145,145,0,132,132,0,0,0,0,0,0,0,0,0,0,19.8,43,14.0,29.0,30,9.0,21.0,1,1,0,1,0,1,1,0,1,12,4,8,12,3,9,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13,5,8,9.7,15,4,11,4,3,1,11,10,140,140,0,141,141,0,141,141,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,7,0,0,26902,64.7,126.653999883162,37.4637921283985
4,20230401,인천,미추홀구,남부,중학교,,일반중학교,해당없음,남인천여자중학교,Namincheon Girls' Middle School,본교,공립,주간,여자,기존(원)교,특별/광역시,19450412.0,22240,인천광역시 미추홀구 인하로 426(관교동. 남인천여자중학교),032 -629 -2469,032 -421 -1826,http://namincheon.icems.kr,1,24,678,0,678,0,0,0,0,24,8,8,8,0,0,0,678,0,678,239,0,239,231,0,231,208,0,208,0,0,0,0,0,0,0,0,0,28.3,51,11.0,40.0,37,7.0,30.0,1,1,0,1,1,0,0,0,0,12,1,11,21,4,17,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14,4,10,13.3,17,2,15,4,1,3,12,9,240,0,240,244,0,244,243,0,243,99.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,2,0,14659,21.6,126.694210659768,37.4451450817321
5,20230401,인천,중구,남부,중학교,,일반중학교,해당없음,신흥여자중학교,SHINHEUNG GIRLS MIDDLE SCHOOL,본교,공립,주간,여자,기존(원)교,특별/광역시,19830301.0,22333,인천광역시 중구 인항로24번길 37(신흥동3가. 신흥여자중학교),032 -883 -2922,032 -629 -2597,http://shinheung.icems.kr,1,17,397,0,397,1,3,0,3,18,6,5,7,0,0,0,400,0,400,149,0,149,103,0,103,148,0,148,0,0,0,0,0,0,0,0,0,22.2,35,5.0,30.0,27,4.0,23.0,1,1,0,1,0,1,0,0,0,12,2,10,10,1,9,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,8,1,7,11.4,16,5,11,4,2,2,0,3,150,0,150,145,0,145,145,0,145,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,7,0,0,13274,33.2,126.632100993319,37.4540411403281
6,20230401,인천,미추홀구,남부,중학교,,일반중학교,해당없음,선인중학교,Sunin Middle School,본교,공립,주간,남자,기존(원)교,특별/광역시,19650510.0,22100,인천광역시 미추홀구 석정로 165. 선인중학교 (도화동),032 -764 -4311,032 -772 -9627,http://sunin-m.icems.kr,1,15,227,227,0,2,10,10,0,17,5,5,7,0,0,0,237,237,0,78,78,0,84,84,0,75,75,0,0,0,0,0,0,0,0,0,0,13.9,31,10.0,21.0,23,5.0,18.0,1,0,1,1,1,0,0,0,0,8,2,6,10,1,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,5,3,7.6,16,4,12,4,3,1,6,0,78,78,0,97,97,0,97,97,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,6,1,0,72821,307.3,126.651978806147,37.4739644136398
7,20230401,인천,옹진군,남부,중학교,,일반중학교,해당없음,백령중학교,BaengNyeong Middle School,본교,공립,주간,남여공학,기존(원)교,특수지역,19550503.0,23103,인천광역시 옹진군 백령면 백령로 708(백령면. 백령고등학교. 백령중학교),032 -836 -0092,032 -836 -2210,http://brmh.icehs.kr,1,6,62,21,41,1,3,2,1,7,2,2,3,0,0,0,65,23,42,19,0,19,25,12,13,21,11,10,0,0,0,0,0,0,0,0,0,9.3,17,8.0,9.0,17,8.0,9.0,0,0,0,0,0,0,0,0,0,4,3,1,11,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.8,0,0,0,0,0,0,8,3,18,0,18,34,14,20,34,14,20,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,124.676047750383,37.9644469694023
8,20230401,인천,미추홀구,남부,중학교,,일반중학교,해당없음,선화여자중학교,SUNHWA GIRLS MIDDLE SCHOOL,본교,공립,주간,여자,기존(원)교,특별/광역시,19690303.0,22100,인천광역시 미추홀구 석정로 165. 선화여자중학교 (도화동),032 -766 -5690,032 -762 -9117,http://sunhwa.icems.kr,1,17,438,0,438,1,3,0,3,18,6,5,7,0,0,0,441,0,441,134,0,134,154,0,154,153,0,153,0,0,0,0,0,0,0,0,0,24.5,34,9.0,25.0,25,6.0,19.0,1,1,0,1,1,0,1,1,0,11,1,10,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,3,6,13.0,15,3,12,4,2,2,11,10,134,0,134,184,0,184,182,0,182,98.9,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,5,10,0,4,43914,99.6,126.651978806147,37.4739644136398
9,20230401,인천,중구,남부,중학교,,일반중학교,해당없음,신흥중학교,SHINHEUNG MIDDLE SCHOO,본교,공립,주간,남자,기존(원)교,특별/광역시,19830301.0,22333,인천광역시 중구 인항로24번길 38(신흥동3가),032 -883 -1955,032 -885 -9275,http://sh.icems.kr,1,15,260,260,0,2,13,13,0,17,5,5,7,0,0,0,273,273,0,86,86,0,83,83,0,104,104,0,0,0,0,0,0,0,0,0,0,16.1,34,14.0,20.0,23,8.0,15.0,1,1,0,1,1,0,0,0,0,8,2,6,10,4,6,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,6,5,8.0,15,3,12,4,1,3,8,2,87,87,0,109,109,0,109,109,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,8,2,1,21302,78.0,126.629957573762,37.4541786998384
