,uid,apt_cd,apt_nm,rdnmadr,legaldong_cd,hshld_cost,use_aprv_year,rent_house_yn,cmpny_house_yn,rbld_yn,lo,la,hsmp_type,lnno_adres,ltout_type,dngct,heat_mthd,crrdpr_type,cnst_entrprs_nm,house_mng_entrprs_nm,buld_stru,elcty_capa,elvtr_cnt,totprk_ecct,grnd_prk_ecct,ungr_prk_ecct,cctv_cnt,mng_office_telno,mng_office_faxno,annx_wlf_fclt,legal_dong
16580,16581,APT2811013600100149007801,인현동공공임대주택,인천광역시 중구 참외전로 149-78,2811013600,,,0,0,0,126.6326808618,37.4745549112,,,,,,,,,,,,,,,,,,,인현동
16581,16582,APT2811020080010220000001,항운,인천광역시 중구 서해대로 220,2811012800,497.0,1982.0,0,0,0,126.6246758378,37.4469441958,아파트,인천광역시 중구 신흥동3가 53-4 신흥 항운 아파트,분양,15.0,개별난방,계단식,우전건설,,철근콘크리트구조,35.0,0.0,147.0,147.0,0.0,10.0,0328841367,322131367.0,"관리사무소, 노인정, 어린이놀이터",신흥동3가
16582,16583,APT2811020080010278000001,인천유림노르웨이숲에듀오션,인천광역시 중구 서해대로 278,2811012800,520.0,2023.0,0,0,0,126.626839977,37.451687481,,,분양,,개별난방,계단식,(주)유림E&amp;C,,,,,550.0,,,,,,,신흥동3가
16583,16584,APT2811020080010439000001,경남아너스빌,인천광역시 중구 서해대로 439,2811012600,408.0,2005.0,0,0,0,126.6332273738,37.4658941461,아파트,인천광역시 중구 신흥동1가 34-1 신흥 경남아너스빌 아파트,분양,8.0,개별난방,계단식,경남기업,주식회사 푸른종합주택관리,철근콘크리트구조,2300.0,8.0,433.0,294.0,139.0,96.0,0327621929,322521929.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",신흥동2가
16584,16585,APT2811021490020667000001,미단시티누구나집3.0,인천광역시 중구 자연대로 667,2811014800,1096.0,2024.0,0,0,0,126.506599592,37.524884507,,,,,,,,,,,,,,,,,,,운북동
16585,16586,APT2811021490030234000001,연안아파트,인천광역시 중구 축항대로 234,2811011800,694.0,1983.0,0,0,0,126.6207711373,37.449077629,아파트,인천광역시 중구 항동7가 91-2 항동연안아파트,분양,16.0,개별난방,계단식,태흥건설 주식회사,,철근콘크리트구조,35.0,0.0,382.0,382.0,0.0,5.0,0328828469,328883256.0,"관리사무소, 노인정, 어린이놀이터",항동7가
16586,16587,APT2811031490230015000001,금호베스트빌 1단지,인천광역시 중구 신도시남로 15,2811014700,360.0,2002.0,0,0,0,126.4863711633,37.4944058593,아파트,인천광역시 중구 운서동 2787-1 영종 금호베스트빌1차 아파트,분양,6.0,지역난방,계단식,(주)금호산업,주식회사 푸른종합주택관리,철근콘크리트구조,1700.0,18.0,372.0,224.0,148.0,54.0,0327525533,327525522.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",운서동
16587,16588,APT2811031490230092000001,주공스카이빌12단지,인천광역시 중구 신도시남로 92,2811014700,323.0,2001.0,0,0,0,126.4883748602,37.4891930372,아파트,인천광역시 중구 운서동 2786-1 영종주공스카이빌12단지,분양,11.0,지역난방,계단식,대우자판외,신한영주택관리(주),철근콘크리트구조,75.0,0.0,229.0,229.0,0.0,46.0,0327520053,327520054.0,,운서동
16588,16589,APT2811031490240018000001,주공스카이빌7단지,인천광역시 중구 신도시북로 18,2811014700,295.0,2002.0,0,0,0,126.4860123633,37.4961981635,아파트,인천광역시 중구 운서동 2709-3 영종주공 스카이빌7단지,분양,6.0,지역난방,혼합식,대한주택공사,씨에스케이(주),철근콘크리트구조,650.0,11.0,236.0,236.0,0.0,35.0,0327465135,327465136.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",운서동
16589,16590,APT2811031490240044000001,풍림아이원6-1단지,인천광역시 중구 신도시북로 44,2811014700,240.0,2003.0,0,0,0,126.4862366592,37.49986008,아파트,인천광역시 중구 운서동 2708-1 영종 풍림6-1차아파트,분양,6.0,지역난방,계단식,풍림산업,주식회사 푸른종합주택관리,철근콘크리트구조,785.0,12.0,172.0,172.0,0.0,46.0,0327468833,327468834.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",운서동
16590,16591,APT2811031490240068000001,풍림아이원6-2단지,인천광역시 중구 신도시북로 68,2811014700,295.0,2002.0,0,0,0,126.4873648893,37.4993278598,아파트,인천광역시 중구 운서동 2708-8 영종 풍림6-2차아파트,분양,8.0,지역난방,계단식,풍림산업(주),,철골콘크리트구조,500.0,0.0,224.0,224.0,0.0,39.0,0327526622,327526623.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",운서동
16591,16592,APT2811031490370007000001,영종자이,인천광역시 중구 운남서로 7,2811014600,1022.0,2009.0,0,0,0,126.5291654885,37.4893755454,아파트,인천광역시 중구 운남동 1550 영종자이아파트,분양,15.0,지역난방,계단식,GS건설(주),우리관리(주),철근콘크리트구조,7750.0,30.0,1904.0,9.0,1895.0,361.0,0327510041,327510047.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",운남동
16592,16593,APT2811031490410018000001,영종어울림1차,인천광역시 중구 운서4로 18,2811014700,328.0,2009.0,0,0,0,126.5086531982,37.4812412062,아파트,인천광역시 중구 운서동 2923 영종 금호어울림1차아파트,분양,6.0,개별난방,계단식,금호건설(주),(주)쌍용개발,철근콘크리트구조,2050.0,11.0,547.0,128.0,419.0,88.0,0327510213,327510214.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",운서동
16593,16594,APT2811031490430028000001,동일,인천광역시 중구 월미로 28,2811013800,140.0,1987.0,0,0,0,126.6154835964,37.4771388198,,인천광역시 중구 북성동1가 4-246번지,,2.0,,,,,철근콘크리트구조,,0.0,0.0,,,,,,,북성동1가
16594,16595,APT2811031490480030000001,신흥아이파크,인천광역시 중구 인항로 30,2811012800,1330.0,2002.0,0,0,0,126.6333395244,37.4563118231,아파트,인천광역시 중구 신흥동3가 7-235 신흥아이파크 아파트,분양,9.0,개별난방,혼합식,현대산업개발,에이제이대원 주식회사,철근콘크리트구조,3250.0,30.0,1374.0,264.0,1110.0,254.0,0328820091,328820092.0,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소, 기타",신흥동3가
16595,16596,APT2811031490560021000001,신일,인천광역시 중구 차이나타운로 21,2811014000,30.0,1977.0,0,0,0,126.6192769778,37.4772205533,,인천광역시 중구 북성동3가 3-7번지,,1.0,,,,,철근콘크리트구조,,0.0,0.0,,,,,,,북성동3가
16596,16597,APT2811031490590090000001,뉴코아,인천광역시 중구 홍예문로 90,2811013600,95.0,1992.0,0,0,0,126.6296194847,37.47637728,,인천광역시 중구 인현동 3-2번지,,1.0,,,,,철근콘크리트구조,,3.0,123.0,,,,,,,인현동
16597,16598,APT2811031490600014000001,영종2차금호베스트빌,인천광역시 중구 흰바위로 14,2811014700,452.0,2003.0,0,0,0,126.4862406095,37.4912237965,아파트,인천광역시 중구 운서동 2788-2 영종금호베스트빌2단지,분양,11.0,지역난방,계단식,(주)금호산업,씨에스케이,철근콘크리트구조,1900.0,23.0,477.0,295.0,182.0,92.0,0327515533,327515534.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",운서동
16598,16599,APT2811031490600015000001,풍림아이원8단지,인천광역시 중구 흰바위로 15,2811014700,236.0,2003.0,0,0,0,126.4863250388,37.4933609715,아파트,인천광역시 중구 운서동 2708-8 영종 풍림6-2차아파트,분양,8.0,지역난방,계단식,풍림산업(주),,철골콘크리트구조,500.0,12.0,224.0,224.0,0.0,39.0,0327526622,327526623.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",운서동
16599,16600,APT2811031490600034000001,영종주공스카이빌10단지,인천광역시 중구 흰바위로 34,2811014700,740.0,2001.0,0,0,0,126.4889712708,37.4911294178,아파트,인천광역시 중구 운서동 2788-6 영종주공스카이빌10단지,분양,15.0,지역난방,계단식,(주)남해건설,LH 공사,철근콘크리트구조,1100.0,31.0,518.0,518.0,0.0,101.0,0327521201,327521202.0,"관리사무소, 노인정, 보육시설, 주민공동시설, 커뮤니티공간, 자전거보관소, 기타",운서동
16600,16601,APT2811031490600249000001,운서SK뷰스카이시티2차,인천광역시 중구 흰바위로 249,2811014600,909.0,2022.0,0,0,0,126.5036815839,37.4805892139,,,,,,,,,,,,,,,,,,,운남동
16601,16602,APT2811031490600277000001,운서역푸르지오더스카이,인천광역시 중구 흰바위로 277,2811014600,1445.0,2021.0,0,0,0,126.5063951551,37.4789920527,,인천광역시 중구 운남동 1778 운서역푸르지오더스카이,임대,17.0,개별난방,혼합식,(주)대우건설,(주)대우에스티,철근콘크리트구조,5000.0,38.0,1931.0,21.0,1910.0,512.0,0327471445,327471446.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",운남동
16602,16603,APT2811031490630047000101,살기좋은아파트,인천광역시 중구 인중로 47-1,2811012800,12.0,2007.0,0,0,0,126.6373019513,37.4637323637,,인천광역시 중구 신흥동3가 34-14번지,,1.0,,,,,철근콘크리트구조,,1.0,8.0,,,,,,,신흥동3가
16603,16604,APT2811031490630096000001,누리타워,인천광역시 중구 인중로 96,2811012700,95.0,1994.0,0,0,0,126.6326118666,37.4655974694,,인천광역시 중구 신흥동2가 50-10번지,,1.0,,,,,일반철골구조,,3.0,123.0,,,,,,,신흥동2가
16604,16605,APT2811031490630097000001,삼익,인천광역시 중구 인중로 97,2811012700,434.0,1979.0,0,0,0,126.6323551069,37.4648426406,아파트,인천광역시 중구 신흥동2가 54-5 신흥 삼익 아파트,분양,2.0,개별난방,복도식,삼익건설,(주)화신지엠에스,철근콘크리트구조,750.0,4.0,155.0,155.0,0.0,37.0,0328820749,328840749.0,"관리사무소, 노인정, 어린이놀이터",신흥동2가
16605,16606,APT2811031490630109000001,풍림,인천광역시 중구 인중로 109,2811012600,299.0,1996.0,0,0,0,126.6312615692,37.4651560515,아파트,인천광역시 중구 신흥동1가 34-8 신흥 풍림 아파트,분양,2.0,개별난방,계단식,풍림건설,주)CSK,철근콘크리트구조,1270.0,8.0,218.0,67.0,151.0,44.0,0328849316,322569316.0,"관리사무소, 노인정, 어린이놀이터",신흥동1가
16606,16607,APT2811031490630111000001,삼성,인천광역시 중구 인중로 111,2811012300,270.0,2001.0,0,0,0,126.6298670162,37.465174908,아파트,인천광역시 중구 신생동 38-5 신생 삼성 아파트,분양,3.0,개별난방,계단식,삼성중공업,(주)한영파트너스 에프에이치,철근콘크리트구조,1190.0,6.0,341.0,55.0,286.0,54.0,0328913881,322563100.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",신생동
16607,16608,APT2811031490630114000001,대림,인천광역시 중구 인중로 114,2811012600,240.0,2002.0,0,0,0,126.6304530217,37.4663523773,아파트,인천광역시 중구 신흥동1가 34-2 신흥 대림 아파트,분양,3.0,개별난방,계단식,대림산업(주),한국주택시설관리(주),철근콘크리트구조,800.0,5.0,260.0,126.0,134.0,52.0,0327778044,327778044.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",신흥동1가
16608,16609,APT2811031490640033000201,동영,인천광역시 중구 제물량로 33-2,2811012800,40.0,1985.0,0,0,0,126.6357420165,37.4634362336,,인천광역시 중구 신흥동3가 37-9번지,,1.0,,,,,철근콘크리트구조,,0.0,0.0,,,,,,,신흥동3가
16609,16610,APT2811031490640121000101,아르누보,인천광역시 중구 제물량로 121-1,2811012500,70.0,2019.0,0,0,0,126.629847756,37.4685847286,,,,,,,,,,,,,,,,,,,답동
16610,16611,APT2811031490640130000001,월드리치빌,인천광역시 중구 제물량로 130,2811012500,16.0,2017.0,0,0,0,126.6294318139,37.4695611592,,인천광역시 중구 답동 12-3번지,,1.0,,,,,철근콘크리트구조,,1.0,14.0,,,,,,,답동
16611,16612,APT2811031490640132000301,답동로얄맨션,인천광역시 중구 제물량로 132-3,2811012500,166.0,2002.0,0,0,0,126.6299675775,37.470042097,아파트,인천광역시 중구 답동 8-1 답동 로얄 아파트,분양,2.0,개별난방,혼합식,대책위원회장 이중길(부도때문),,경량철골구조,350.0,4.0,141.0,30.0,111.0,26.0,0327659753,327659753.0,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",답동
16612,16613,APT2811031490640288000001,선광,인천광역시 중구 제물량로 288,2811013900,102.0,1996.0,0,0,0,126.61767507,37.4774328952,,인천광역시 중구 북성동2가 5-1번지,,1.0,,,,,철근콘크리트구조,,2.0,78.0,,,,,,,북성동2가
16613,16614,APT2811031490640317000001,남경포브,인천광역시 중구 제물량로 317,2811014300,142.0,2006.0,0,0,0,126.6194731886,37.4796403031,,인천광역시 중구 송월동2가 2-5번지,,2.0,,,,,철근콘크리트구조,,4.0,146.0,,,,,,,송월동2가
16614,16615,APT2811031490650013000001,송월,인천광역시 중구 참외전로 13,2811014200,340.0,1980.0,0,0,0,126.6223197789,37.4801637271,아파트,인천광역시 중구 송월동1가 10-1 송월 아파트,분양,11.0,개별난방,계단식,반도건업,신화비엠씨(주),철근콘크리트구조,450.0,0.0,170.0,170.0,0.0,16.0,0327622465,327622465.0,"관리사무소, 노인정, 어린이놀이터",송월동1가
16615,16616,APT2811031490650088000301,성한,인천광역시 중구 참외전로 88-3,2811013700,12.0,2002.0,0,0,0,126.6291927658,37.4778362217,,인천광역시 중구 전동 8-13번지,,1.0,,,,,철근콘크리트구조,,1.0,8.0,,,,,,,전동
16616,16617,APT2811031490750065000001,인천영종 동보노빌리티,인천광역시 중구 하늘달빛로 65,2811014500,585.0,2012.0,0,0,0,126.5592149748,37.4846362612,아파트,인천광역시 중구 중산동 1872-2 영종동보노빌리티,분양,8.0,지역난방,계단식,(주)동보주택건설,율산개발(주),철근콘크리트구조,3250.0,16.0,764.0,0.0,764.0,131.0,0327518812,327518813.0,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",중산동
