,철도운영기관명,선명,역명,지번주소,도로명주소,위도경도,위도경도_text,lat,lon,legal_dong
0,인천교통공사,인천1호선,간석오거리,인천광역시 남동구 간석동 239-3,인천광역시 남동구 경인로 지하 642,"(126.708161076046, 37.4666459185412)","(126.708161076046, 37.4666459185412)",126.708161076046,37.4666459185412,간석동
1,인천교통공사,인천1호선,갈산,인천광역시 부편구 청천동 112,인천광역시 부평구 부평대로 지하 286,"(126.721530626568, 37.5168167443412)","(126.721530626568, 37.5168167443412)",126.721530626568,37.5168167443412,갈산동
2,인천교통공사,인천1호선,경인교대입구,인천광역시 계양구 계산동 1034,인천광역시 계양구 계양대로 지하 162,"(126.722600451556, 37.5380835631206)","(126.722600451556, 37.5380835631206)",126.722600451556,37.5380835631206,계산동
3,인천교통공사,인천1호선,계산,인청광역시 계양구 계산동 1014,인천광역시 계양구 경명대로 지하 1089,"(126.728080590524, 37.5432900176718)","(126.728080590524, 37.5432900176718)",126.728080590524,37.5432900176718,계산동
4,인천교통공사,인천1호선,계양,인천광역시 계양구 귤현동 451-264,인천광역시 계양구 다남로 24,"(126.736023400683, 37.5716093704302)","(126.736023400683, 37.5716093704302)",126.736023400683,37.5716093704302,귤현동
5,인천교통공사,인천1호선,국제업무지구,인천광역시 연수구 송도동 78,인천광역시 연수구 인천타워대로 지하 334,"(126.630154315167, 37.4003040965747)","(126.630154315167, 37.4003040965747)",126.630154315167,37.4003040965747,송도동
6,인천교통공사,인천1호선,귤현,인천광역시 계양구 귤현동 334-1,인천광역시 계양구 장제로 1136,"(126.742648844783, 37.5664130150675)","(126.742648844783, 37.5664130150675)",126.742648844783,37.5664130150675,귤현동
7,인천교통공사,인천1호선,동막,인천광역시 연수구 동춘동 927-1,인천광역시 연수구 경원대로 80,"(126.673697480966, 37.3982309113687)","(126.673697480966, 37.3982309113687)",126.673697480966,37.3982309113687,동춘동
8,인천교통공사,인천1호선,동수,인천광역시 부평구 부평동 686,인천광역시 부평구 경인로 지하 877,"(126.717952447459, 37.4851943071576)","(126.717952447459, 37.4851943071576)",126.717952447459,37.4851943071576,부평동
9,인천교통공사,인천1호선,동춘,인천광역시 연수구 동춘동 926-11,인천광역시 연수구 경원대로 지하 180,"(126.680747085456, 37.4049075930219)","(126.680747085456, 37.4049075930219)",126.680747085456,37.4049075930219,동춘동
10,인천교통공사,인천1호선,문학경기장,인천광역시 연수구 선학동 117-1,인천광역시 연수구 예술로 지하 2,"(126.698365486864, 37.4347501506404)","(126.698365486864, 37.4347501506404)",126.698365486864,37.4347501506404,선학동
11,인천교통공사,인천1호선,박촌,인천광역시 계양구 박촌동 101-8,인천광역시 계양구 장제로 992,"(126.745539109643, 37.5541425077637)","(126.745539109643, 37.5541425077637)",126.745539109643,37.5541425077637,박촌동
12,인천교통공사,인천1호선,부평,인천광역시 부평구 부평동 224-1,인천광역시 부평구 광장로 지하 15,"(126.723486369222, 37.4904472744166)","(126.723486369222, 37.4904472744166)",126.723486369222,37.4904472744166,부평동
13,인천교통공사,인천1호선,부평구청,인천광역시 부평구 청천동 112,인천광역시 부평구 부평대로 지하 189,"(126.720514883354, 37.508225459146)","(126.720514883354, 37.508225459146)",126.720514883354,37.508225459146,청천동
14,인천교통공사,인천1호선,부평삼거리,인천광역시 부평구 십정동 592,인천광역시 부평구 경인로 지하 765,"(126.710266473195, 37.4777630429319)","(126.710266473195, 37.4777630429319)",126.710266473195,37.4777630429319,십정동
15,인천교통공사,인천1호선,부평시장,인천광역시 부평구 부평동 224-1,인천광역시 부평구 부평대로 지하 69,"(126.722264374618, 37.4984158625278)","(126.722264374618, 37.4984158625278)",126.722264374618,37.4984158625278,부평동
16,인천교통공사,인천1호선,선학,인천광역시 연수구 선학동 241-2,인천광역시 연수구 경원대로 지하 480,"(126.698957024825, 37.4271249406263)","(126.698957024825, 37.4271249406263)",126.698957024825,37.4271249406263,선학동
17,인천교통공사,인천1호선,센트럴파크,인천광역시 연수구 송도동 78,인천광역시 연수구 인천타워대로 지하 240,"(126.634731106586, 37.393009904015)","(126.634731106586, 37.393009904015)",126.634731106586,37.393009904015,송도동
18,인천교통공사,인천1호선,송도달빛축제공원,,인천광역시 연수구 송도동 340번지,"(126.625722248644, 37.4073661874121)","(126.625722248644, 37.4073661874121)",126.625722248644,37.4073661874121,송도동
19,인천교통공사,인천1호선,신연수,인천광역시 연수구 선학동 384,인천광역시 연수구 경원대로 지하 368,"(126.693854473218, 37.4179545547451)","(126.693854473218, 37.4179545547451)",126.693854473218,37.4179545547451,연수동
20,인천교통공사,인천1호선,예술회관,인천광역시 남동구 구월동 1408,인천광역시 남동구 예술로 지하 172,"(126.701163347511, 37.449445911109)","(126.701163347511, 37.449445911109)",126.701163347511,37.449445911109,구월동
21,인천교통공사,인천1호선,원인재,인천광역시 연수구 연수동 647,인천광역시 연수구 경원대로 지하 285,"(126.68762757215, 37.4121078839743)","(126.68762757215, 37.4121078839743)",126.68762757215,37.4121078839743,연수동
22,인천교통공사,인천1호선,인천대입구,인천광역시 연수구 송도동 48,인천광역시 연수구 인천타워대로 지하 155,"(126.639388868455, 37.3860462639967)","(126.639388868455, 37.3860462639967)",126.639388868455,37.3860462639967,송도동
23,인천교통공사,인천1호선,인천시청,인천광역시 남돌구 간석동 927,인천광역시 남동구 예술로 지하 264,"(126.702342121444, 37.4574194008354)","(126.702342121444, 37.4574194008354)",126.702342121444,37.4574194008354,간석동
24,인천교통공사,인천1호선,인천터미널,인천광역시 미추홀구 관교동 14,인천광역시 미추홀구 예술로 지하 85,"(126.699690868667, 37.4419049500121)","(126.699690868667, 37.4419049500121)",126.699690868667,37.4419049500121,관교동
25,인천교통공사,인천1호선,임학,인청광역시 계양구 임학동 93,인천광역시 계양구 장제로 지하 875,"(126.738623134693, 37.545061848005)","(126.738623134693, 37.545061848005)",126.738623134693,37.545061848005,임학동
26,인천교통공사,인천1호선,작전,인천광역시 계양구 작전동 878,인천광역시 계양구 계양대로 지하 73,"(126.722569611095, 37.5303126519591)","(126.722569611095, 37.5303126519591)",126.722569611095,37.5303126519591,작전동
27,인천교통공사,인천1호선,지식정보단지,인천광역시 연수구 송도동 48,인천광역시 연수구 인천타워대로 지하 57,"(126.645382938849, 37.3781203711755)","(126.645382938849, 37.3781203711755)",126.645382938849,37.3781203711755,송도동
28,인천교통공사,인천1호선,캠퍼스타운,인천광역시 연수구 송도동 3-47,인천광역시 연수구 송도국제대로 지하 66,"(126.662186746942, 37.3883566734466)","(126.662186746942, 37.3883566734466)",126.662186746942,37.3883566734466,송도동
29,인천교통공사,인천1호선,테크노파크,인천광역시 연수구 송도동 7-51,인천광역시 연수구 송도국제대로 지하 150,"(126.656518754327, 37.3823969521136)","(126.656518754327, 37.3823969521136)",126.656518754327,37.3823969521136,송도동
30,인천교통공사,인천2호선,가재울,인천광역시 서구 가좌동 288,인천광역시 서구 열우물로 252,"(126.683849979619, 37.4841262397417)","(126.683849979619, 37.4841262397417)",126.683849979619,37.4841262397417,가좌동
31,인천교통공사,인천2호선,가정,인천광역시 서구 가정동 산116-5,인천광역시 서구 봉오대로 234,"(126.675285050218, 37.5247080926327)","(126.675285050218, 37.5247080926327)",126.675285050218,37.5247080926327,가정동
32,인천교통공사,인천2호선,가정중앙시장,인천광역시 서구 가정동 529,인천광역시 서구 가남로 400,"(126.676839956398, 37.5175778857213)","(126.676839956398, 37.5175778857213)",126.676839956398,37.5175778857213,가정동
33,인천교통공사,인천2호선,검단사거리,인천광역시 서구 왕길동234-1,인천광역시 서구 검단로 473,"(126.656458486687, 37.6016749830195)","(126.656458486687, 37.6016749830195)",126.656458486687,37.6016749830195,왕길동
34,인천교통공사,인천2호선,검단오류,인천광역시 서구 오류동 450-4,인천광역시 서구 검단로 187,"(126.627967052742, 37.5949667216833)","(126.627967052742, 37.5949667216833)",126.627967052742,37.5949667216833,오류동
35,인천교통공사,인천2호선,검바위,인천광역시 서구 검암동 산72-15,인천광역시 서구 서곶로 492,"(126.677544292945, 37.5612279500069)","(126.677544292945, 37.5612279500069)",126.677544292945,37.5612279500069,검암동
36,인천교통공사,인천2호선,검암,인천광역시 서구 검암동 370-25,인천광역시 서구 검바위로 4,"(126.675472176848, 37.5687914198721)","(126.675472176848, 37.5687914198721)",126.675472176848,37.5687914198721,검암동
37,인천교통공사,인천2호선,남동구청,인천광역시 남동구 만수동 1006번지,인천광역시 남동구 인주대로 지하 889,"(126.736636415052, 37.4481719165185)","(126.736636415052, 37.4481719165185)",126.736636415052,37.4481719165185,만수동
38,인천교통공사,인천2호선,독정,인천광역시 서구 백석동 74-1,인천광역시 서구 서곶로 760,"(126.675983102846, 37.5849694794367)","(126.675983102846, 37.5849694794367)",126.675983102846,37.5849694794367,백석동
39,인천교통공사,인천2호선,마전,인천광역시 서구 마전동 999-25,인천광역시 서구 완정로 68,"(126.667136991301, 37.597725203253)","(126.667136991301, 37.597725203253)",126.667136991301,37.597725203253,마전동
40,인천교통공사,인천2호선,만수,인천광역시 남동구 만수동 993번지,인천광역시 남동구 구월로 지하 367,"(126.731903680547, 37.4549623765074)","(126.731903680547, 37.4549623765074)",126.731903680547,37.4549623765074,만수동
41,인천교통공사,인천2호선,모래내시장,인천광역시 남동구 구월동 341-6번지,인천광역시 남동구 구월로 지하 255,"(126.719514236013, 37.4558796820132)","(126.719514236013, 37.4558796820132)",126.719514236013,37.4558796820132,구월동
42,인천교통공사,인천2호선,서구청,인천광역시 서구 심곡동 산7-4,인천광역시 서구 서곶로 294,"(126.676845402988, 37.5439541574542)","(126.676845402988, 37.5439541574542)",126.676845402988,37.5439541574542,심곡동
43,인천교통공사,인천2호선,서부여성회관,인천광역시 서구 석남동 563-4,인천광역시 서구 가석로 169,"(126.675853748671, 37.5002517272341)","(126.675853748671, 37.5002517272341)",126.675853748671,37.5002517272341,석남동
44,인천교통공사,인천2호선,석남,인천광역시 서구 석남동 600,인천광역시 서구 가석로 257,"(126.6762537219, 37.5070671007297)","(126.6762537219, 37.5070671007297)",126.6762537219,37.5070671007297,석남동
45,인천교통공사,인천2호선,석바위시장,인천광역시 미추홀구 주안동 1597번지,인천광역시 미추홀구 구월로 19,"(126.69246050161, 37.457821717656)","(126.69246050161, 37.457821717656)",126.69246050161,37.457821717656,주안동
46,인천교통공사,인천2호선,석천사거리,인천광역시 남동구 구월동 73-3번지,인천광역시 남동구 구월로 지하 181,"(126.710496633123, 37.4567800292332)","(126.710496633123, 37.4567800292332)",126.710496633123,37.4567800292332,구월동
47,인천교통공사,인천2호선,시민공원,인천광역시 미추홀구 주안동 189번지,인천광역시 미추홀구 경인로 371,"(126.681082250344, 37.4583980288288)","(126.681082250344, 37.4583980288288)",126.681082250344,37.4583980288288,주안동
48,인천교통공사,인천2호선,아시아드경기장,인천광역시 서구 연희동 94-6,인천광역시 서구 서곶로 382,"(126.677096559118, 37.5513370579353)","(126.677096559118, 37.5513370579353)",126.677096559118,37.5513370579353,연희동
49,인천교통공사,인천2호선,완정,인천광역시 서구 당하동 1077-10,인천광역시 서구 원당대로 650,"(126.673029692589, 37.5929192282534)","(126.673029692589, 37.5929192282534)",126.673029692589,37.5929192282534,당하동
50,인천교통공사,인천2호선,왕길,인천광역시 서구 왕길동 474-8,인천광역시 서구 검단로 323,"(126.642655635516, 37.5952638428651)","(126.642655635516, 37.5952638428651)",126.642655635516,37.5952638428651,왕길동
51,인천교통공사,인천2호선,운연,인천광역시 남동구 운연동 131-2,인천광역시 남동구 매소홀로 1229,"(126.759804339843, 37.4396370540864)","(126.759804339843, 37.4396370540864)",126.759804339843,37.4396370540864,운연동
52,인천교통공사,인천2호선,인천가좌,인천광역시 서구 가좌동 110,인천광역시 서구 가석로 67,"(126.675272757558, 37.4900776266311)","(126.675272757558, 37.4900776266311)",126.675272757558,37.4900776266311,가좌동
53,인천교통공사,인천2호선,인천대공원,인천광역시 남동구 장수동 606-9,인천광역시 남동구 수인로 3677,"(126.752687902408, 37.4485356440421)","(126.752687902408, 37.4485356440421)",126.752687902408,37.4485356440421,장수동
54,인천교통공사,인천2호선,인천시청,인천광역시 남동구 간석동 927,인천광역시 남동구 구월로 지하 99,"(126.701301607114, 37.456880855068)","(126.701301607114, 37.456880855068)",126.701301607114,37.456880855068,간석동
55,인천교통공사,인천2호선,주안,인천광역시 미추홀구 주안동 125,인천광역시 미추홀구 주안로 지하 91-1,"(126.679517004054, 37.464767076602)","(126.679517004054, 37.464767076602)",126.679517004054,37.464767076602,주안동
56,인천교통공사,인천2호선,주안국가산단,인천광역시 서구 가좌동 606-11,인천광역시 서구 방축로 343,"(126.681231524183, 37.4740870466326)","(126.681231524183, 37.4740870466326)",126.681231524183,37.4740870466326,가좌동
57,인천교통공사,7호선,굴포천,,경기도 부천시 길주로 623,,"(126.731762426823, 37.5070784308537)",126.731762426823,37.5070784308537,삼산동
58,인천교통공사,7호선,까치울,,경기도 부천시 길주로 626,"(126.811388193303, 37.5062070659974)","(126.811388193303, 37.5062070659974)",126.811388193303,37.5062070659974,작동
59,인천교통공사,7호선,부천시청,,경기도 부천시 길주로 202,"(126.764048233937, 37.5046544378123)","(126.764048233937, 37.5046544378123)",126.764048233937,37.5046544378123,중동
60,인천교통공사,7호선,부천종합운동장,,경기도 부천시 길주로 502,"(126.797425733321, 37.5054804431356)","(126.797425733321, 37.5054804431356)",126.797425733321,37.5054804431356,춘의동
61,인천교통공사,7호선,부평구청,,경기도 부천시 길주로 189,"(126.763578221581, 37.5051872524513)","(126.763578221581, 37.5051872524513)",126.763578221581,37.5051872524513,중동
62,인천교통공사,7호선,산곡,,경기도 부천시 길주로 379,,"(126.703343492272, 37.5086150723109)",126.703343492272,37.5086150723109,산곡동
63,인천교통공사,7호선,삼산체육관,,경기도 부천시 길주로 713,,"(126.741906601707, 37.5065825037123)",126.741906601707,37.5065825037123,삼산동
64,인천교통공사,7호선,상동,,경기도 부천시 길주로 104,"(126.75317777915, 37.5058133495726)","(126.75317777915, 37.5058133495726)",126.75317777915,37.5058133495726,상동
65,인천교통공사,7호선,석남(거북시장),,경기도 부천시 길주로 120,,"(126.67459056506, 37.5062910033259)",126.67459056506,37.5062910033259,석남동
66,인천교통공사,7호선,신중동,,경기도 부천시 길주로 314,"(126.776490550411, 37.5029799729542)","(126.776490550411, 37.5029799729542)",126.776490550411,37.5029799729542,중동
67,인천교통공사,7호선,춘의,,경기도 부천시 길주로 406,"(126.786883214678, 37.5036516866354)","(126.786883214678, 37.5036516866354)",126.786883214678,37.5036516866354,춘의동
