EMD_CD,SIDO_NM,SGG_NM,EMD_NM,TOT_NMPR_C
28110151,인천광,중구,덕교동,570
28110150,인천광,중구,남북동,836
28110128,인천광,중구,신흥동3가,6400
28110101,인천광,중구,중앙동1가,73
28110102,인천광,중구,중앙동2가,68
28110103,인천광,중구,중앙동3가,284
28110104,인천광,중구,중앙동4가,70
28110105,인천광,중구,해안동1가,0
28110106,인천광,중구,해안동2가,54
28110107,인천광,중구,해안동3가,13
28110108,인천광,중구,해안동4가,16
28110109,인천광,중구,관동1가,210
28110110,인천광,중구,관동2가,120
28110111,인천광,중구,관동3가,101
28110112,인천광,중구,항동1가,84
28110113,인천광,중구,항동2가,0
28110114,인천광,중구,항동3가,0
28110115,인천광,중구,항동4가,1
28110116,인천광,중구,항동5가,7
28110117,인천광,중구,항동6가,0
28110119,인천광,중구,송학동1가,19
28110120,인천광,중구,송학동2가,238
28110121,인천광,중구,송학동3가,326
28110122,인천광,중구,사동,319
28110123,인천광,중구,신생동,1216
28110124,인천광,중구,신포동,248
28110125,인천광,중구,답동,1241
28110126,인천광,중구,신흥동1가,4289
28110127,인천광,중구,신흥동2가,2375
28110134,인천광,중구,경동,993
28110135,인천광,중구,용동,482
28110136,인천광,중구,인현동,837
28110137,인천광,중구,전동,2062
28110138,인천광,중구,북성동1가,1203
28110139,인천광,중구,북성동2가,1003
28110140,인천광,중구,북성동3가,309
28110141,인천광,중구,선린동,476
28110142,인천광,중구,송월동1가,2828
28110143,인천광,중구,송월동2가,535
28110144,인천광,중구,송월동3가,616
28110129,인천광,중구,선화동,985
28110130,인천광,중구,유동,405
28110131,인천광,중구,율목동,2548
28110132,인천광,중구,도원동,3690
28110133,인천광,중구,내동,1081
28110147,인천광,중구,운서동,36515
28110145,인천광,중구,중산동,49859
28110149,인천광,중구,을왕동,1545
28110152,인천광,중구,무의동,688
28140104,인천광,동구,화평동,1776
28110148,인천광,중구,운북동,3404
28140103,인천광,동구,송현동,16931
28200103,인천광,남동구,만수동,112898
28200104,인천광,남동구,장수동,5095
28200105,인천광,남동구,서창동,51905
28200102,인천광,남동구,간석동,92480
28200108,인천광,남동구,수산동,513
28200110,인천광,남동구,논현동,101782
28260114,인천광,서구,당하동,69466
28200109,인천광,남동구,도림동,8761
28200106,인천광,남동구,운연동,305
28140105,인천광,동구,창영동,656
28140106,인천광,동구,금곡동,1643
28140101,인천광,동구,만석동,6459
28140102,인천광,동구,화수동,6835
28140107,인천광,동구,송림동,25458
28177101,인천광,미추홀구,숭의동,44820
28177103,인천광,미추홀구,학익동,47355
28177104,인천광,미추홀구,도화동,52444
28177102,인천광,미추홀구,용현동,87932
28177107,인천광,미추홀구,문학동,14143
28177106,인천광,미추홀구,관교동,14384
28200101,인천광,남동구,구월동,109218
28260122,인천광,서구,청라동,113170
28245110,인천광,계양구,동양동,14658
28245108,인천광,계양구,방축동,3284
28245109,인천광,계양구,박촌동,10159
28245118,인천광,계양구,오류동,3246
28245119,인천광,계양구,갈현동,136
28245115,인천광,계양구,노오지동,0
28245116,인천광,계양구,선주지동,117
28245117,인천광,계양구,이화동,1400
28245122,인천광,계양구,다남동,768
28720340,인천광,옹진군,대청면,1434
28245123,인천광,계양구,장기동,3314
28200107,인천광,남동구,남촌동,10962
28200111,인천광,남동구,고잔동,832
28245103,인천광,계양구,작전동,70051
28245104,인천광,계양구,서운동,8173
28245107,인천광,계양구,병방동,16756
28245105,인천광,계양구,임학동,12342
28245106,인천광,계양구,용종동,13056
28245101,인천광,계양구,효성동,54692
28245102,인천광,계양구,계산동,60672
28245111,인천광,계양구,귤현동,9119
28245114,인천광,계양구,평동,57
28245112,인천광,계양구,상야동,165
28245113,인천광,계양구,하야동,161
28710360,인천광,강화군,내가면,3042
28237109,인천광,부평구,구산동,2743
28710320,인천광,강화군,불은면,5086
28710330,인천광,강화군,길상면,7238
28710370,인천광,강화군,하점면,4009
28710340,인천광,강화군,화도면,4550
28710380,인천광,강화군,양사면,1913
28710390,인천광,강화군,송해면,3266
28185105,인천광,연수구,동춘동,59760
28185101,인천광,연수구,옥련동,37397
28185102,인천광,연수구,선학동,17331
28260107,인천광,서구,심곡동,20476
28185103,인천광,연수구,연수동,52935
28185104,인천광,연수구,청학동,23344
28185106,인천광,연수구,송도동,199797
28710310,인천광,강화군,선원면,7935
28710250,인천광,강화군,강화읍,22356
28710350,인천광,강화군,양도면,4213
28237108,인천광,부평구,일신동,9086
28720310,인천광,옹진군,북도면,2134
28720370,인천광,옹진군,자월면,1358
28710420,인천광,강화군,서도면,657
28720360,인천광,옹진군,영흥면,6567
28237101,인천광,부평구,부평동,137906
28720350,인천광,옹진군,덕적면,1953
28710410,인천광,강화군,삼산면,2116
28720330,인천광,옹진군,백령면,4903
28237107,인천광,부평구,부개동,63657
28237105,인천광,부평구,삼산동,61491
28260109,인천광,서구,신현동,29519
28237102,인천광,부평구,십정동,57367
28237103,인천광,부평구,산곡동,82399
28237104,인천광,부평구,청천동,40862
28237106,인천광,부평구,갈산동,32684
28260106,인천광,서구,연희동,13097
28260117,인천광,서구,대곡동,1057
28260101,인천광,서구,백석동,10051
28260102,인천광,서구,시천동,89
28260112,인천광,서구,가좌동,58350
28720380,인천광,옹진군,연평면,2103
28177105,인천광,미추홀구,주안동,144265
28260121,인천광,서구,불로동,22160
28245121,인천광,계양구,목상동,103
28110118,인천광,중구,항동7가,5445
28260120,인천광,서구,왕길동,18978
28245120,인천광,계양구,둑실동,176
28260105,인천광,서구,공촌동,4520
28110146,인천광,중구,운남동,21494
28710400,인천광,강화군,교동면,2756
28260103,인천광,서구,검암동,30299
28260110,인천광,서구,석남동,45748
28260108,인천광,서구,가정동,65740
28260111,인천광,서구,원창동,274
28260115,인천광,서구,원당동,44891
28260104,인천광,서구,경서동,12925
28260118,인천광,서구,금곡동,4500
28260119,인천광,서구,오류동,5388
28260113,인천광,서구,마전동,49720
