법정동코드,동이름,시간,대중교통/도보(분),승용차(분),총학생수,전체인구수,교원수총계,학급수총계,학급당학생수,교원당학생수,전체직원수,교지면적,학생1인당교지면적,학원수,학교수,인구수대비학생수
28110118,항동7가,일평균(06-20시),4.99,1.73,135,5445.0,18,12,11.3,7.5,11,11582,82.1,6.0,1,0.024793388429752
28110120,송학동2가,일평균(06-20시),4.0,1.72,489,238.0,20,18,27.2,24.5,9,2242,4.5,0.0,1,2.054621848739496
28110125,답동,일평균(06-20시),4.0,1.72,387,1241.0,36,24,16.1,10.8,19,15683,40.2,11.0,1,0.3118452860596293
28110128,신흥동3가,일평균(06-20시),6.87,2.25,1046,6400.0,70,52,39.4,29.200000000000003,41,23531,52.2,14.0,2,0.1634375
28110137,전동,일평균(06-20시),5.5,2.17,195,2062.0,24,14,13.9,8.1,14,21253,109.6,1.0,1,0.094568380213385
28110145,중산동,일평균(06-20시),6.64,2.4,4075,49859.0,221,157,77.5,55.0,78,41769,34.0,522.0,3,0.0817304799534687
28110146,운남동,일평균(06-20시),9.68,2.94,1511,21494.0,91,66,43.4,30.9,31,26911,46.7,44.0,2,0.0702986880059551
28110147,운서동,일평균(06-20시),5.71,1.96,1720,36515.0,119,80,65.1,43.2,58,37235,65.3,144.0,3,0.0471039298918252
28110148,운북동,일평균(06-20시),9.68,2.94,71,3404.0,9,7,10.1,7.9,6,8699,120.8,0.0,1,0.0208578143360752
28110150,남북동,일평균(06-20시),9.68,2.94,51,836.0,12,7,7.3,4.3,8,9710,183.2,0.0,1,0.0610047846889952
28140102,화수동,일평균(06-20시),2.94,1.02,354,6835.0,31,20,17.7,11.4,19,8764,23.7,7.0,1,0.0517922457937088
28140103,송현동,일평균(06-20시),5.43,1.71,518,16931.0,41,26,19.9,12.6,19,17001,31.6,27.0,1,0.0305947669954521
28140105,창영동,일평균(06-20시),2.77,1.57,540,656.0,35,27,40.3,32.1,17,22595,86.7,0.0,2,0.823170731707317
28140107,송림동,일평균(06-20시),5.722,2.256,1844,25458.0,127,92,81.5,60.0,58,49713,107.6,84.0,4,0.072433026946343
28177101,숭의동,일평균(06-20시),5.05,2.14,1524,44820.0,97,68,40.2,28.0,46,27927,63.3,68.0,2,0.0340026773761713
28177102,용현동,일평균(06-20시),6.3175,3.55,3853,87932.0,239,167,90.4,63.2,94,61172,72.1,704.0,4,0.0438179502342719
28177103,학익동,일평균(06-20시),4.94,1.805,2496,47355.0,170,121,99.6,70.5,90,63091,158.79999999999998,435.0,5,0.0527082673424136
28177104,도화동,일평균(06-20시),7.21,2.245,2734,52444.0,184,123,65.0,43.0,69,41443,50.6,159.0,3,0.0521317977270993
28177105,주안동,일평균(06-20시),5.94875,2.43125,4274,144265.0,288,198,125.8,87.1,113,70909,112.5,1146.0,6,0.0296260354209267
28177106,관교동,일평균(06-20시),4.32,2.12,1011,14384.0,69,48,42.1,29.2,38,24062,48.1,70.0,2,0.0702864293659621
28177107,문학동,일평균(06-20시),5.56,2.45,653,14143.0,42,30,21.8,15.5,20,21350,33.1,8.0,1,0.0461712507954465
28185101,옥련동,일평균(06-20시),4.805,1.805,2364,37397.0,165,119,77.0,55.900000000000006,72,63832,125.7,340.0,4,0.0632136267615049
28185102,선학동,일평균(06-20시),4.83,1.59,568,17331.0,48,34,16.7,11.8,20,11362,20.0,29.0,1,0.0327736426057353
28185103,연수동,일평균(06-20시),4.797,1.806,2504,52935.0,188,137,90.3,66.2,86,56199,123.4,445.0,5,0.0473032964957022
28185104,청학동,일평균(06-20시),6.47,2.67,477,23344.0,39,27,17.7,12.2,20,11878,24.7,18.0,1,0.0204335161069225
28185105,동춘동,일평균(06-20시),4.243,1.49,3932,59760.0,235,167,164.5,116.4,121,79174,143.9,1477.0,7,0.0657965194109772
28185106,송도동,일평균(06-20시),5.21,1.862,16247,199797.0,887,650,369.6,270.4,324,224159,228.7,12315.0,15,0.0813175373003598
28200101,구월동,일평균(06-20시),5.16,1.8675,6362,109218.0,391,275,179.2,124.3,169,105848,171.6,2144.0,8,0.0582504715339962
28200102,간석동,일평균(06-20시),5.07,1.96,3092,92480.0,216,154,97.8,69.5,100,56967,114.1,780.0,5,0.0334342560553633
28200103,만수동,일평균(06-20시),4.876,1.985,4756,112898.0,363,247,185.0,126.6,181,124075,315.6,2120.0,10,0.0421265212846994
28200105,서창동,일평균(06-20시),5.33,1.65,4562,51905.0,255,190,95.7,71.7,97,52294,46.7,608.0,4,0.0878913399479818
28200107,남촌동,일평균(06-20시),5.43,2.11,378,10962.0,37,24,15.8,10.2,15,10838,28.1,12.0,1,0.0344827586206896
28200109,도림동,일평균(06-20시),5.43,2.11,421,8761.0,32,22,19.1,13.2,18,10822,24.9,12.0,1,0.04805387512841
28200110,논현동,일평균(06-20시),4.856,1.716,6484,101782.0,400,292,219.0,159.4,180,103511,177.1,3010.0,10,0.0637047808060364
28237101,부평동,일평균(06-20시),5.43,2.355,4572,137906.0,309,220,125.9,89.0,115,83568,117.1,0.0,6,0.0331530172726349
28237102,십정동,일평균(06-20시),4.245,2.005,2241,57367.0,176,117,113.5,75.5,93,74191,211.7,450.0,6,0.0390642703993585
28237103,산곡동,일평균(06-20시),3.995,1.5125,4339,82399.0,299,205,181.6,124.9,147,102457,324.7,1908.0,9,0.052658406048617
28237104,청천동,일평균(06-20시),5.265,1.995,1591,40862.0,119,82,58.6,40.0,55,33847,66.1,186.0,3,0.0389359306935539
28237105,삼산동,일평균(06-20시),3.975,1.435,3422,61491.0,213,154,130.3,93.9,107,76347,155.5,1242.0,6,0.0556504203867232
28237106,갈산동,일평균(06-20시),4.63,1.615,1140,32684.0,94,65,51.2,35.5,54,36502,103.2,123.0,3,0.0348794517194957
28237107,부개동,일평균(06-20시),4.34,1.71,3688,63657.0,265,186,133.1,93.1,128,82210,174.1,938.0,7,0.0579354980599148
28237108,일신동,일평균(06-20시),3.59,1.66,354,9086.0,29,18,19.7,12.2,16,13825,38.8,18.0,1,0.0389610389610389
28237109,구산동,일평균(06-20시),4.34,1.71,301,2743.0,29,21,14.3,10.4,16,9459,30.5,3.0,1,0.1097338680277068
28245101,효성동,일평균(06-20시),4.745,2.1,2546,54692.0,177,124,118.6,83.1,108,87490,235.6,492.0,6,0.0465515980399327
28245102,계산동,일평균(06-20시),4.2475,1.5875,2382,60672.0,208,132,123.2,78.0,121,92387,307.0,826.0,7,0.0392602848101265
28245103,작전동,일평균(06-20시),5.055,2.34,2092,70051.0,143,104,79.7,57.6,74,48888,103.7,420.0,4,0.0298639562604388
28245104,서운동,일평균(06-20시),4.68,1.61,540,8173.0,32,24,22.5,16.9,17,12553,23.2,5.0,1,0.0660712100819772
28245106,용종동,일평균(06-20시),4.23,1.62,1225,13056.0,78,55,44.5,31.4,38,22215,35.8,134.0,2,0.0938265931372549
28245107,병방동,일평균(06-20시),4.61,1.92,597,16756.0,50,33,36.2,23.8,32,21924,72.4,38.0,2,0.0356290284077345
28245109,박촌동,일평균(06-20시),5.21,2.02,397,10159.0,36,21,18.9,11.0,17,14750,40.3,13.0,1,0.0390786494733733
28245110,동양동,일평균(06-20시),5.44,1.83,935,14658.0,54,41,22.8,17.3,21,11423,11.7,25.0,1,0.0637876927275208
28245111,귤현동,일평균(06-20시),2.0,1.925,630,9119.0,41,32,19.7,15.4,24,11239,17.3,19.0,1,0.0690865226450268
28245112,상야동,일평균(06-20시),5.44,1.83,8,165.0,5,4,2.0,1.6,4,2462,273.6,0.0,1,0.0484848484848484
28245123,장기동,일평균(06-20시),5.21,2.02,391,3314.0,31,22,17.8,12.6,21,22161,55.1,8.0,1,0.1179843089921545
28260103,검암동,일평균(06-20시),5.58,2.37,1896,30299.0,130,86,62.3,40.4,55,33235,74.4,195.0,3,0.0625763226509125
28260104,경서동,일평균(06-20시),5.58,2.37,670,12925.0,43,33,20.3,15.6,19,12570,18.4,55.0,1,0.0518375241779497
28260105,공촌동,일평균(06-20시),5.56,2.01,318,4520.0,24,17,18.7,13.3,14,10789,33.2,2.0,1,0.0703539823008849
28260106,연희동,일평균(06-20시),5.56,2.01,522,13097.0,32,25,20.9,16.3,18,14692,27.0,51.0,1,0.0398564556768725
28260107,심곡동,일평균(06-20시),5.56,2.01,543,20476.0,48,32,34.4,22.6,30,22435,82.6,74.0,2,0.0265188513381519
28260108,가정동,일평균(06-20시),6.5866,2.0733,2853,65740.0,183,135,59.4,43.1,71,35181,68.5,411.0,3,0.0433982354730757
28260109,신현동,일평균(06-20시),4.81,1.78,2802,29519.0,162,116,64.6,46.0,67,43654,78.4,195.0,3,0.0949219146990074
28260110,석남동,일평균(06-20시),5.4033,2.15666,1498,45748.0,126,89,66.0,46.3,68,59011,173.5,172.0,4,0.032744600856868
28260112,가좌동,일평균(06-20시),5.0175,1.7475,2024,58350.0,163,113,88.2,59.9,87,74320,193.1,355.0,5,0.0346872322193659
28260113,마전동,일평균(06-20시),4.48,1.72,2724,49720.0,160,118,92.3,68.2,74,47354,70.2,484.0,4,0.0547868061142397
28260114,당하동,일평균(06-20시),4.27,1.73,4538,69466.0,263,188,116.8,84.0,104,58073,71.4,710.0,5,0.0653269225232487
28260115,원당동,일평균(06-20시),4.57,1.79,4335,44891.0,252,180,92.5,67.2,88,57067,86.2,960.0,4,0.0965672406495734
28260118,금곡동,일평균(06-20시),2.77,1.57,320,4500.0,27,19,16.8,11.9,15,12949,40.8,5.0,1,0.0711111111111111
28260119,오류동,일평균(06-20시),5.03,2.12,818,5388.0,49,37,22.1,16.7,21,14632,17.5,7.0,1,0.151818856718634
28260120,왕길동,일평균(06-20시),5.03,2.12,586,18978.0,33,27,21.7,17.8,17,11833,19.7,35.0,1,0.0308778585730846
28260121,불로동,일평균(06-20시),5.18,1.62,1278,22160.0,84,58,44.0,30.3,40,24676,38.400000000000006,72.0,2,0.0576714801444043
28260122,청라동,일평균(06-20시),5.583,2.08666,8226,113170.0,453,336,168.4,124.9,170,89990,80.0,3129.0,7,0.0726871078907837
28710250,강화읍,일평균(06-20시),8.52,2.7,1101,22356.0,94,62,66.39999999999999,43.1,64,41972,205.5,216.0,4,0.049248523886205
28710310,선원면,일평균(06-20시),21.54,4.04,234,7935.0,20,13,18.0,11.7,14,19721,83.6,5.0,1,0.0294896030245746
28710320,불은면,일평균(06-20시),32.53,5.18,106,5086.0,27,15,13.7,8.1,25,19511,408.3,0.0,2,0.0208415257569799
28710330,길상면,일평균(06-20시),22.37,4.8,185,7238.0,22,14,13.2,8.4,15,17820,96.3,9.0,1,0.0255595468361425
28710340,화도면,일평균(06-20시),37.12,9.56,61,4550.0,13,7,8.7,4.7,10,14275,209.9,1.0,1,0.0134065934065934
28710350,양도면,일평균(06-20시),12.84,3.98,106,4213.0,29,14,15.1,7.5,15,26582,529.4000000000001,0.0,2,0.0251602183717066
28710360,내가면,일평균(06-20시),31.86,5.19,41,3042.0,17,7,5.9,2.4,18,13691,351.1,0.0,1,0.0134779750164365
28710370,하점면,일평균(06-20시),27.48,4.64,97,4009.0,24,12,16.2,8.1,18,23459,476.9,0.0,2,0.0241955599900224
28710380,양사면,일평균(06-20시),32.34,5.47,42,1913.0,12,7,6.0,3.5,12,13869,330.2,0.0,1,0.021955044432828
28710390,송해면,일평균(06-20시),25.04,3.59,46,3266.0,11,6,7.7,4.2,9,19173,445.9,0.0,1,0.0140845070422535
28710400,교동면,일평균(06-20시),49.63,5.44,30,2756.0,12,6,5.0,2.5,11,16367,511.5,0.0,1,0.0108853410740203
28710410,삼산면,일평균(06-20시),48.95,10.9,27,2116.0,21,12,4.5,2.5,15,20312,1415.1,0.0,2,0.0127599243856332
28710420,서도면,일평균(06-20시),120.0,60.0,5,657.0,4,3,1.7,1.3,2,0,0.0,0.0,1,0.0076103500761035
28720310,북도면,일평균(06-20시),16.35,3.49,21,2134.0,7,7,5.8,5.8,4,16966,1739.0,0.0,2,0.0098406747891283
28720330,백령면,일평균(06-20시),13.23,1.73,159,4903.0,26,14,22.3,12.0,17,29114,396.7,4.0,2,0.0324291250254945
28720340,대청면,일평균(06-20시),25.9,6.16,22,1434.0,6,5,4.4,3.7,3,20769,515.5,0.0,2,0.0153417015341701
28720360,영흥면,일평균(06-20시),29.1,7.35,195,6567.0,19,13,15.0,10.3,9,19583,96.5,3.0,1,0.0296939241662859
28720370,자월면,일평균(06-20시),6.23,4.64,15,1358.0,6,6,5.0,5.0,0,22087,2560.2000000000003,0.0,3,0.0110456553755522
