,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적"
0,20231001,인천,미추홀구,남부,초등학교,,해당없음,초등학교,인천용학초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20160901,221-88 ,인천광역시 미추홀구 용정공원로83번길 9 . 인천용학초등학교 (용현동. 인천 용학초등학교),032-627-6300,032-886-9717,http://yh.icees.kr,48,7,8,7,8,9,9,1148,581,567,164,73,91,189,94,95,179,90,89,213,115,98,216,117,99,187,92,95,23.9,68,22,46,63,21,42,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,44.0,11.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5,1,4,16.9,23,2,21,4,0,4,23,47,1,4,1,8,11000,9.4
1,20231001,인천,옹진군,남부,초등학교,,해당없음,초등학교,인천남부초등학교이작분교장,분교장,공립,,,기존(원)교,도서벽지,해당없음,19990301,231-28 ,인천광역시 옹진군 자월면 대이작로 60 (자월면. 인천남부초등학교이작분교),032-627-9001,032-834-6435,http://http://inambu.icees.kr/,3,1,0,0,1,0,1,9,6,3,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,5,3,2,3.0,3,3,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,0,0,0,0,0,0,0,2,1,1,0,0,3905,433.9
2,20231001,인천,옹진군,남부,초등학교,,해당없음,초등학교,대청초등학교소청분교장,분교장,공립,,,기존(원)교,도서벽지,해당없음,19530901,231-06 ,인천광역시 옹진군 대청면 소청동로 69-13 (대청면. 대청초등학교소청분교),032-627-1353,032-627-1356,http://idmh.icehs.kr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,9428,0.0
3,20231001,인천,중구,남부,초등학교,,해당없음,초등학교,인천공항초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20020301,223-70 ,인천광역시 중구 신도시남로 43 (운서동. 공항초등학교),032-752-2073,032-752-2074,http://gonghang-e.icees.kr,21,4,4,3,3,3,4,493,256,237,67,30,37,67,42,25,83,37,46,85,45,40,93,50,43,98,52,46,23.5,36,10,26,31,9,22,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,18.0,5.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5,1,4,13.7,20,4,16,5,3,2,19,24,0,6,0,17,11635,23.6
4,20231001,인천,미추홀구,남부,초등학교,,해당없음,초등학교,인천관교초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19870301,222-40 ,인천광역시 미추홀구 인하로 414 . 인천관교초등학교 (관교동. 인천관교초등학교),032-434-0492,032-434-3763,http://kwankyo.icees.kr,27,4,4,4,5,4,6,571,299,272,82,41,41,87,44,43,88,43,45,90,52,38,107,55,52,117,64,53,21.1,38,8,30,37,7,30,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,21.0,2.0,19.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,0,15.0,20,2,18,4,0,4,19,28,0,4,0,0,12563,21.8
5,20231001,인천,미추홀구,남부,초등학교,,해당없음,초등학교,인천남부초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19780302,222-14 ,인천광역시 미추홀구 인주대로366번길 22 (주안동. 남부초등학교),032-629-1019,032-865-5789,http://inambu.es.kr,25,3,4,4,4,5,5,498,258,240,64,29,35,82,42,40,57,29,28,89,49,40,105,59,46,101,50,51,19.9,34,7,27,33,7,26,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,5.0,18.0,2.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,1,14.6,16,1,15,4,0,4,17,32,0,6,0,6,10613,21.1
6,20231001,인천,옹진군,남부,초등학교,,해당없음,초등학교,인천삼목초등학교장봉분교장,분교장,공립,,,기존(원)교,도서벽지,해당없음,19471002,231-11 ,인천광역시 옹진군 북도면 장봉로 553 (북도면. 인천삼목초등학교장봉분교),032-746-8053,032-746-8054,http://sm.icees.kr,3,1,0,0,1,0,1,7,4,3,1,1,0,0,0,0,2,1,1,2,1,1,1,0,1,1,1,0,2.3,3,3,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.3,2,1,1,0,0,0,1,4,0,1,0,0,9839,1229.9
7,20231001,인천,중구,남부,초등학교,,해당없음,초등학교,인천영종초등학교금산분교장,분교장,공립,,,기존(원)교,특별/광역시,해당없음,19560413,223-56 ,인천광역시 중구 백운로414번길 63-50 (운북동. 금산초등학교),032-746-0014,032-746-0289,http://yj.icees.kr/,7,1,1,2,1,1,1,71,41,30,9,6,3,12,5,7,13,9,4,11,8,3,16,9,7,10,4,6,10.1,9,2,7,8,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,7.9,6,2,4,0,0,0,6,6,0,2,0,0,8699,120.8
8,20231001,인천,옹진군,남부,초등학교,,해당없음,초등학교,대청초등학교,본교,공립,,,기존(원)교,도서벽지,초등+중학+고등,19320301,231-05 ,인천광역시 옹진군 대청면 대청로244번길 110 (대청면. 대청초등학교),032-627-1353,032-627-1356,http://dce.icees.kr/main.do,5,1,1,0,1,1,1,22,12,10,5,3,2,1,1,0,0,0,0,5,2,3,4,2,2,7,4,3,4.4,6,5,1,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.7,3,0,3,0,0,0,3,7,0,1,0,2,11341,515.5
9,20231001,인천,미추홀구,남부,초등학교,,해당없음,초등학교,인천대화초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19940301,221-16 ,인천광역시 미추홀구 석정로301번길 13 (도화동. 대화초등학교),032-867-0046,032-867-1356,http://daehwa.icees.kr/main.do,23,3,3,3,5,4,5,454,233,221,65,33,32,60,29,31,74,36,38,79,45,34,86,48,38,90,42,48,19.7,38,15,23,32,14,18,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,19.0,4.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6,1,5,11.9,19,5,14,3,2,1,19,29,0,5,0,4,11867,26.1
