,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적"
0,20231001,인천,계양구,인천시,고등학교,일반고,해당없음,일반고등학교,서운고등학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20020301,210-74 ,인천광역시 계양구 아나지로 481 (서운동),032-627-3482,032-542-7431,http://seowoon.icehs.kr,24,9,7,8,0,0,0,598,290,308,238,116,122,191,83,108,169,91,78,0,0,0,0,0,0,0,0,0,24.9,51,15,36,45,14,31,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,28.0,6.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,1,5,11.7,16,3,13,4,2,2,14,24,17,3,0,2,20120,33.4
1,20231001,인천,서구,인천시,고등학교,일반고,해당없음,일반고등학교,가정고등학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,19960301,227-99 ,인천광역시 서구 서달로 162 (석남동),032-579-9188,032-579-9189,http://gajeong.icehs.kr,34,13,10,11,0,0,0,913,464,449,347,178,169,296,154,142,270,132,138,0,0,0,0,0,0,0,0,0,26.9,75,18,57,65,14,51,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,47.0,7.0,40.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,4,6,12.2,19,5,14,5,2,3,18,34,0,4,0,2,17137,18.7
2,20231001,인천,서구,인천시,고등학교,일반고,해당없음,일반고등학교,가림고등학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20030301,228-15 ,인천광역시 서구 원적로 58 (가좌동),032-584-1755,032-584-1756,http://garim.icehs.kr,36,13,11,12,0,0,0,888,491,397,328,181,147,316,181,135,244,129,115,0,0,0,0,0,0,0,0,0,24.7,73,21,52,66,19,47,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,48.0,12.0,36.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7,2,5,12.2,19,2,17,5,1,4,16,36,3,11,0,0,14618,16.4
3,20231001,인천,계양구,인천시,고등학교,일반고,해당없음,일반고등학교,인천예일고등학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20040301,210-21 ,인천광역시 계양구 박촌로 23 (방축동),032-555-6307,032-555-6304,http://yeil.icehs.kr,26,8,8,10,0,0,0,606,267,339,206,91,115,198,91,107,202,85,117,0,0,0,0,0,0,0,0,0,23.3,63,10,53,50,6,44,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,10.0,32.0,2.0,30.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,4,9,9.6,20,4,16,5,3,2,20,28,5,12,0,0,14696,23.6
4,20231001,인천,남동구,인천시,고등학교,일반고,해당없음,일반고등학교,인천논현고등학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,20060301,216-65 ,인천광역시 남동구 청능대로611번길 54 . 인천논현고등학교 (논현동),032-446-0634,032-446-0594,http://nh.icehs.kr,29,10,10,9,0,0,0,793,0,793,295,0,295,251,0,251,247,0,247,0,0,0,0,0,0,0,0,0,27.3,65,23,42,55,18,37,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,39.0,9.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,5,5,12.2,18,3,15,3,1,2,17,28,4,8,0,4,11989,15.0
5,20231001,인천,부평구,인천시,고등학교,일반고,해당없음,일반고등학교,인천상정고등학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,20090301,214-47 ,인천광역시 부평구 경원대로 1109 (십정동),032-714-8666,032-714-8517,http://incheonsangjeong.icehs.kr,22,7,8,7,0,0,0,509,509,0,184,184,0,171,171,0,154,154,0,0,0,0,0,0,0,0,0,0,23.1,48,14,34,42,14,28,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,6.0,25.0,5.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,0,6,10.6,16,3,13,4,2,2,16,25,6,6,0,0,13784,27.0
6,20231001,인천,계양구,인천시,고등학교,일반고,해당없음,일반고등학교,인천세원고등학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,20090301,210-28 ,인천광역시 계양구 장제로 966 (병방동.인천세원고등학교),032-554-2360,032-554-2361,http://isw.icehs.kr,24,7,8,9,0,0,0,552,0,552,182,0,182,196,0,196,174,0,174,0,0,0,0,0,0,0,0,0,23.0,52,10,42,46,9,37,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,4.0,8.0,28.0,4.0,24.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,1,5,10.6,15,2,13,4,2,2,16,24,7,8,0,0,13067,23.6
7,20231001,인천,강화군,인천시,고등학교,일반고,해당없음,일반고등학교,강화고등학교,본교,공립,주간,남자,기존(원)교,도서벽지,해당없음,19450510,230-28 ,인천광역시 강화군 강화읍 고비고개로 20 (강화읍),032-724-2300,032-724-2310,http://ganghwahs.icehs.kr,20,6,7,7,0,0,0,470,470,0,164,164,0,151,151,0,155,155,0,0,0,0,0,0,0,0,0,0,23.5,44,18,26,41,16,25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,8.0,5.0,21.0,6.0,15.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3,2,1,10.7,20,2,18,3,0,3,20,20,2,7,0,2,28259,59.5
8,20231001,인천,강화군,인천시,고등학교,일반고,해당없음,일반고등학교,강화여자고등학교,본교,공립,주간,여자,기존(원)교,도서벽지,해당없음,19550325,230-29 ,인천광역시 강화군 강화읍 송악길 58 (강화읍),032-933-3554,032-933-0802,http://ganghwagirls.icehs.kr,22,7,8,7,0,0,0,462,0,462,157,0,157,143,0,143,162,0,162,0,0,0,0,0,0,0,0,0,21.0,48,18,30,44,18,26,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,25.0,8.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4,0,4,9.6,19,3,16,4,2,2,19,22,2,4,0,0,38269,81.1
9,20231001,인천,서구,인천시,고등학교,일반고,해당없음,일반고등학교,검단고등학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,20020301,226-33 ,인천광역시 서구 검단로540번길 7 (마전동),032-567-7831,032-567-7834,http://geomdan.icehs.kr,31,10,10,11,0,0,0,807,0,807,308,0,308,231,0,231,268,0,268,0,0,0,0,0,0,0,0,0,26.0,69,23,46,59,19,40,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,9.0,3.0,43.0,10.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,4,6,11.7,17,3,14,4,2,2,16,31,4,7,0,0,12488,15.3
