,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적"
0,20231001,인천,중구,남부,중학교,,해당없음,일반중학교,인천공항중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20020305,223-68 ,인천광역시 중구 영종대로27번길 49 . 인천공항중학교 (운서동. 인천공항중학교),032-746-3703,032-746-3706,http://gonghang.icems.kr,32,11,11,10,0,0,0,837,415,422,244,114,130,283,147,136,310,154,156,0,0,0,0,0,0,0,0,0,26.2,58,18,40,42,13,29,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,24.0,5.0,19.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16,5,11,14.4,17,2,15,3,1,2,18,34,0,6,1,2,12000,14.4
1,20231001,인천,미추홀구,남부,중학교,,해당없음,일반중학교,관교중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19900301,222-40 ,인천광역시 미추홀구 경원대로670번길 19 (관교동. 관교중학교),032-435-0345,032-434-6722,http://www.kwangyo.icems.kr,32,10,10,12,0,0,0,887,887,0,297,297,0,309,309,0,281,281,0,0,0,0,0,0,0,0,0,0,27.7,62,22,40,43,14,29,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,6.0,29.0,12.0,17.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19,8,11,14.3,20,3,17,3,1,2,19,30,0,8,0,3,15223,17.2
2,20231001,인천,미추홀구,남부,중학교,,해당없음,일반중학교,관교여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19831230,222-32 ,인천광역시 미추홀구 경원대로 691 (관교동. 관교여자중학교),032-434-2763,032-438-0277,http://igg.icems.kr/,27,9,9,9,0,0,0,573,0,573,195,0,195,190,0,190,188,0,188,0,0,0,0,0,0,0,0,0,21.2,51,13,38,37,11,26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,20.0,7.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14,2,12,11.2,18,2,16,4,1,3,18,29,3,8,0,4,15853,27.5
3,20231001,인천,미추홀구,남부,중학교,,해당없음,일반중학교,인천남중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19460927,221-63 ,인천광역시 미추홀구 수봉로 16-23 (숭의동. 인천남 중학교),032-882-2503,032-882-8180,http://icnamjung.icems.kr,21,7,7,7,0,0,0,415,415,0,138,138,0,144,144,0,133,133,0,0,0,0,0,0,0,0,0,0,19.8,43,13,30,30,8,22,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,4.0,8.0,12.0,3.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,8,9.7,15,4,11,4,3,1,15,21,2,7,0,0,26902,64.7
4,20231001,인천,미추홀구,남부,중학교,,해당없음,일반중학교,남인천여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19450412,222-40 ,인천광역시 미추홀구 인하로 426 (관교동. 남인천여자중학교),032-629-2469,032-421-1826,http://namincheon.icems.kr,24,8,8,8,0,0,0,672,0,672,239,0,239,227,0,227,206,0,206,0,0,0,0,0,0,0,0,0,28.0,50,10,40,34,6,28,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,11.0,18.0,4.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16,4,12,13.4,17,2,15,4,1,3,17,24,0,8,2,0,14659,21.6
5,20231001,인천,중구,남부,중학교,,해당없음,일반중학교,신흥여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19830301,223-33 ,인천광역시 중구 인항로24번길 37 (신흥동3가. 신흥여자중학교),032-883-2922,032-629-2597,http://shinheung.icems.kr,18,6,5,7,0,0,0,398,0,398,150,0,150,100,0,100,148,0,148,0,0,0,0,0,0,0,0,0,22.1,34,5,29,27,5,22,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,10.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7,0,7,11.7,19,5,14,4,2,2,16,19,3,7,0,0,13274,33.2
6,20231001,인천,미추홀구,남부,중학교,,해당없음,일반중학교,선인중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19650510,221-00 ,인천광역시 미추홀구 석정로 165 . 선인중학교 (도화동),032-629-2913,032-772-9627,http://sunin-m.icems.kr,17,5,5,7,0,0,0,237,237,0,80,80,0,82,82,0,75,75,0,0,0,0,0,0,0,0,0,0,13.9,31,10,21,20,4,16,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,8.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,5,7.6,16,3,13,4,2,2,16,16,8,6,1,0,72821,307.3
7,20231001,인천,옹진군,남부,중학교,,해당없음,일반중학교,백령중학교,본교,공립,주간,남여공학,기존(원)교,도서벽지,해당없음,19550503,231-03 ,인천광역시 옹진군 백령면 백령로 708 (백령면. 백령고등학교. 백령중학교),032-836-0092,032-836-2210,http://brmh.icehs.kr,7,2,2,3,0,0,0,64,23,41,20,1,19,24,11,13,20,11,9,0,0,0,0,0,0,0,0,0,9.1,16,7,9,16,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,10.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,20231001,인천,미추홀구,남부,중학교,,해당없음,일반중학교,선화여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19690303,221-00 ,인천광역시 미추홀구 석정로 165 . 선화여자중학교 (도화동),032-766-5690,032-762-9117,http://sunhwa.icems.kr,18,7,5,6,0,0,0,438,0,438,131,0,131,154,0,154,153,0,153,0,0,0,0,0,0,0,0,0,24.3,35,10,25,25,6,19,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,10.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,4,6,12.5,16,3,13,4,2,2,15,17,5,10,0,4,43914,99.6
9,20231001,인천,중구,남부,중학교,,해당없음,일반중학교,신흥중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19830301,223-33 ,인천광역시 중구 인항로24번길 38 (신흥동3가),032-883-1955,032-885-9275,http://sh.icems.kr,17,5,5,7,0,0,0,283,283,0,89,89,0,85,85,0,109,109,0,0,0,0,0,0,0,0,0,0,16.6,33,12,21,23,8,15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,10.0,4.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,4,6,8.6,15,4,11,4,2,2,15,15,2,8,2,1,21302,78.0
