,총학생수,전체인구수,교원수총계,학급수총계,학급당학생수,교원당학생수,전체직원수,교지면적,학생1인당교지면적,학원수,학교수,법정동코드,인구수대비학생수
0,286,238.0,24,12,23.8,11.9,5,10721,37.1,0.0,1,28110120,1.2016806722689075
1,228,1241.0,30,15,15.2,7.6,8,9731,43.4,11.0,1,28110125,0.18372280419016923
2,681,6400.0,67,35,38.7,20.299999999999997,34,34576,111.2,14.0,2,28110128,0.10640625
3,295,3690.0,33,18,16.4,8.9,5,0,0.0,4.0,1,28110132,0.07994579945799458
4,869,49859.0,54,29,30.0,16.1,17,15575,18.2,174.0,1,28110145,0.01742915020357408
5,1679,21494.0,106,57,58.6,31.5,30,31158,39.1,44.0,2,28110146,0.0781148227412301
6,837,36515.0,58,32,26.2,14.4,17,12000,14.4,48.0,1,28110147,0.02292208681363823
7,43,836.0,14,4,10.8,3.1,8,0,0.0,0.0,1,28110150,0.05143540669856459
8,350,6835.0,33,17,20.6,10.6,15,11937,34.0,7.0,1,28140102,0.051207022677395755
9,850,25458.0,65,36,47.0,25.9,11,45352,94.4,42.0,2,28140107,0.03338832587006049
10,415,44820.0,43,21,19.8,9.7,15,26902,64.7,34.0,1,28177101,0.009259259259259259
11,1474,87932.0,99,50,59.0,29.8,31,31923,43.1,352.0,2,28177102,0.016762953191102214
12,1676,47355.0,107,59,56.8,31.4,27,10000,10.8,174.0,2,28177103,0.03539225002639637
13,1544,52444.0,122,65,67.2,35.6,53,140744,434.3,159.0,3,28177104,0.029440927465486995
14,346,144265.0,32,16,21.6,10.8,14,24612,70.7,191.0,1,28177105,0.002398364121581811
15,2132,14384.0,163,83,76.9,38.9,55,45735,66.3,105.0,3,28177106,0.1482202447163515
16,1042,37397.0,76,40,52.099999999999994,27.4,32,33595,65.9,170.0,2,28185101,0.0278631975826938
17,357,17331.0,36,19,18.8,9.9,16,10191,29.5,29.0,1,28185102,0.020598926778604813
18,1405,52935.0,111,61,67.3,36.800000000000004,43,34117,83.4,267.0,3,28185103,0.026541985453858507
19,497,23344.0,51,27,36.6,19.4,27,25475,105.89999999999999,36.0,2,28185104,0.02129026730637423
20,2059,59760.0,141,78,77.6,42.9,49,33991,54.6,633.0,3,28185105,0.034454484605087016
21,7822,199797.0,448,242,255.1,137.9,130,110002,124.3,6568.0,8,28185106,0.03914973698303778
22,3730,109218.0,254,133,138.6,72.5,88,71577,109.8,1340.0,5,28200101,0.03415187972678496
23,1840,92480.0,150,75,96.8,48.5,64,53370,120.5,624.0,4,28200102,0.019896193771626297
24,2751,112898.0,239,120,136.8,68.6,79,68140,177.8,1272.0,6,28200103,0.024367127849917625
25,1764,51905.0,114,57,61.900000000000006,31.3,34,23069,26.1,304.0,2,28200105,0.03398516520566419
26,3789,101782.0,253,136,134.5,72.0,80,55453,90.6,1505.0,5,28200110,0.03722662160303394
27,2289,137906.0,169,89,94.2,49.5,65,55220,158.3,0.0,4,28237101,0.016598262584659115
28,1016,57367.0,104,52,58.599999999999994,29.7,36,45835,136.6,225.0,3,28237102,0.017710530444332108
29,2284,82399.0,175,89,96.89999999999999,49.2,65,56419,142.5,848.0,4,28237103,0.02771878299493926
30,425,40862.0,43,23,18.5,9.9,19,12304,28.9,62.0,1,28237104,0.010400861436053057
31,2362,61491.0,159,89,78.4,43.8,55,38784,53.7,621.0,3,28237105,0.038412125351677484
32,2737,63657.0,192,104,127.6,69.2,79,83115,192.3,670.0,5,28237107,0.04299605699294657
33,1323,54692.0,105,56,71.4,38.0,46,44441,102.0,246.0,3,28245101,0.024190009507789073
34,1464,60672.0,129,66,86.80000000000001,44.4,59,50395,156.4,472.0,4,28245102,0.024129746835443038
35,365,70051.0,37,19,19.2,9.9,16,11097,30.5,105.0,1,28245103,0.005210489500506774
36,1659,8173.0,107,59,56.2,30.9,37,25164,30.7,10.0,2,28245104,0.2029854398629634
37,581,16756.0,59,29,39.0,19.0,27,22795,87.0,38.0,2,28245107,0.03467414657436142
38,213,3284.0,28,13,16.4,7.6,10,12636,59.0,0.0,1,28245108,0.06485992691839221
39,502,14658.0,39,20,25.1,12.9,17,10593,20.7,25.0,1,28245110,0.03424750989220903
40,502,9119.0,33,19,26.4,15.2,14,15049,29.7,19.0,1,28245111,0.0550498958219103
41,328,10051.0,37,20,16.4,8.9,15,11193,43.9,6.0,1,28260101,0.03263356879912446
42,1376,30299.0,93,50,51.5,27.6,29,22842,43.6,130.0,2,28260103,0.04541404006732896
43,564,13097.0,46,24,23.5,12.3,16,11523,20.5,51.0,1,28260106,0.043063296938230126
44,436,65740.0,44,23,19.0,9.9,17,17006,43.8,137.0,1,28260108,0.006632187404928506
45,1448,29519.0,111,59,68.9,36.4,47,37756,101.5,195.0,3,28260109,0.049053152207053086
46,679,45748.0,70,35,39.2,19.4,27,24201,71.19999999999999,86.0,2,28260110,0.014842178893066363
47,1331,58350.0,123,61,86.2,42.699999999999996,54,71501,226.2,284.0,4,28260112,0.022810625535561267
48,2270,49720.0,133,71,63.5,34.1,42,33576,31.9,242.0,2,28260113,0.045655671761866454
49,1912,69466.0,120,66,57.7,31.700000000000003,36,27255,30.299999999999997,284.0,2,28260114,0.027524256470791465
50,1747,44891.0,118,62,56.3,29.700000000000003,34,25420,29.3,480.0,2,28260115,0.03891648660087768
51,708,22160.0,50,28,25.3,14.2,13,12368,17.4,36.0,1,28260121,0.031949458483754516
52,3989,113170.0,246,126,126.7,64.9,72,46957,46.800000000000004,1788.0,4,28260122,0.035247857205973315
53,981,22356.0,78,40,49.1,25.200000000000003,33,30677,62.8,108.0,2,28710250,0.04388083735909823
54,130,7238.0,25,7,18.6,5.2,9,25347,201.2,9.0,1,28710330,0.017960762641613705
55,48,4550.0,14,4,12.0,3.4,6,5417,112.9,1.0,1,28710340,0.01054945054945055
56,59,4213.0,13,3,19.7,4.5,8,6777,111.1,0.0,1,28710350,0.014004272489912177
57,25,4009.0,13,4,6.3,1.9,4,20896,803.7,0.0,1,28710370,0.006235969069593414
58,21,2756.0,6,3,7.0,3.5,2,0,0.0,0.0,1,28710400,0.007619738751814224
59,75,2116.0,12,3,25.0,6.3,5,12404,163.2,0.0,1,28710410,0.03544423440453686
60,2,657.0,2,1,2.0,1.0,0,0,0.0,0.0,1,28710420,0.0030441400304414
61,64,4903.0,16,7,9.1,4.0,0,0,0.0,2.0,1,28720330,0.01305323271466449
