구분,공간유형,이름,주소,상세주소,위도,경도,x,y
남동구,공공도서관,미추홀도서관,인천광역시 남동구 인주대로776번길 53,"(구월동, 인천광역시 미추홀도서관)",37.4470524,126.7248558,126.7249146,37.44708252
남동구,공공도서관,중앙도서관,인천광역시 남동구 정각로 9,"(구월동, 중앙도서관)",37.4562876,126.7030871,126.703125,37.45629883
남동구,공공도서관,간석3동어린이도서관,인천광역시 남동구 용천로 186,"(간석동, 간석3동행정복지센터) 3층",37.4661846,126.7145375,126.7144775,37.46630859
연수구,공공도서관,연수청학도서관,인천광역시 연수구 솔샘로 146,"(청학동, 연수청학도서관)",37.4255895,126.6609755,126.6608887,37.42572021
연수구,공공도서관,연수어린이도서관,인천광역시 연수구 먼우금로 164,"(동춘동, 연수어린이도서관)",37.4122994,126.6747501,126.6746826,37.41229248
연수구,공공도서관,송도국제어린이도서관,인천광역시 연수구 컨벤시아대로 43,"(송도동, 송도국제어린이도서관)",37.3979815,126.6536625,126.6536865,37.39807129
연수구,공공도서관,해돋이도서관,인천광역시 연수구 해돋이로 7,"(송도동, 해돋이도서관)",37.3857977,126.6590478,126.6591187,37.38592529
연수구,공공도서관,선학별빛도서관,인천광역시 연수구 넘말로 30,"(선학동, 선학별빛도서관)",37.4298516,126.6978787,126.697876,37.42987061
연수구,공공도서관,연수도서관,인천광역시 연수구 함박뫼로152번길 96,"(연수동, 연수도서관)",37.417928,126.6853227,126.6853027,37.41790771
연수구,공공도서관,송도국제기구도서관,인천광역시 연수구 아트센터대로 175,"(송도동, 기업은행송도GCF지점) 인천경제자유구역청(G-타워) 문화동 2층",37.396103,126.634188,126.6342773,37.39611816
중구,공공도서관,율목도서관,인천광역시 중구 답동로24번길 17,"(율목동, 율목도서관)",37.4697891,126.6323966,126.6325073,37.46990967
중구,공공도서관,영종도서관,인천광역시 중구 영종대로 85,"(운서동, 영종도서관)",37.4956559,126.4885701,126.4887085,37.49572754
중구,공공도서관,꿈벗도서관,인천광역시 중구 홍예문로 32,"(송학동3가, 중구도서관)",37.4731596,126.6249997,126.6251221,37.4730835
동구,공공도서관,화도진도서관,인천광역시 동구 화도진로 122,"(화수동, 화도진도서관)",37.4818481,126.6283738,126.628479,37.48187256
동구,공공도서관,송림도서관,인천광역시 동구 새천년로 72,"(송림동, 송림3-5동 복합청사)",37.4747461,126.6488051,126.6489258,37.47467041
미추홀구,공공도서관,주안도서관,인천광역시 미추홀구 구월남로 27,"(주안동, 주안도서관)",37.4554776,126.692886,126.6928711,37.45550537
미추홀구,공공도서관,수봉도서관,인천광역시 미추홀구 경인로 218,"(도화동, 수봉도서관)",37.4627023,126.6667764,126.666687,37.46270752
미추홀구,공공도서관,학나래도서관,인천광역시 미추홀구 한나루로 444,"(학익동, 학익2동주민센터)",37.4465725,126.6674618,126.6674805,37.44671631
미추홀구,공공도서관,독정골도서관,인천광역시 미추홀구 인주대로 171번길 1,"(용현동, 독정골작은도서관)",37.4560704,126.6563205,126.656311,37.45611572
미추홀구,공공도서관,관교도서관,인천광역시 미추홀구 인하로 452,"(관교동, 관교동주민센터)",37.4441641,126.6967824,126.6968994,37.4442749
미추홀구,공공도서관,숭의도서관,인천광역시 미추홀구 참외전로 304,"(숭의동, 숭의어린이도서관)",37.465609,126.6477838,126.6478882,37.46569824
미추홀구,공공도서관,쑥골도서관,인천광역시 미추홀구 염전로202번길 49,"(도화동, 도화3동어린이집)",37.4756151,126.6613289,126.6613159,37.47570801
미추홀구,공공도서관,주안1동도서관,인천광역시 미추홀구 주안서로53번길 22,"(주안동, 주안1동주민 자치센터, 어린이도서관)",37.4637713,126.6766541,126.6766968,37.46368408
미추홀구,공공도서관,장사래(숭의2동)도서관,인천광역시 미추홀구 경인로34번길 20,"(숭의동, 장사래어린이도서관)",37.4630546,126.6472708,126.6472778,37.46307373
미추홀구,공공도서관,주안8동(이랑)도서관,인천광역시 미추홀구 미추홀대로 578번길 7,"(주안동, 이랑도서관)",37.4492365,126.6803235,126.6802979,37.44927979
부평구,공공도서관,부개도서관,인천광역시 부평구 부일로83번길 46,"(부개동, 부개도서관)",37.4910298,126.7395149,126.739502,37.49108887
부평구,공공도서관,삼산도서관,인천광역시 부평구 부평북로 445,"(삼산동, 삼산도서관)",37.5221728,126.743062,126.743103,37.52227783
부평구,공공도서관,청천도서관,인천광역시 부평구 원길로 23,"(청천동, 청천도서관)",37.5058725,126.7143681,126.7144775,37.50592041
