연번,광역지자체명,기초지자체명,법인명,상호,업태,소재지,Latitude,Longitude,건물 연면적,영업장 면적,매장면적,영업개시일
1,인천광역시,계양구,홈플러스주식회사,홈플러스(주)계산점,대형마트,(21060) 인천광역시 계양구 오조산공원로 14(계산동) 인천광역시 계양구 오조산공원로 14(계산동),37.5395037,126.7362102,"51,727.58㎡","24,481㎡","16,072㎡",1998-01-08
2,인천광역시,계양구,홈플러스주식회사,홈플러스㈜작전점,대형마트,(21111) 인천광역시 계양구 계양대로 27(작전동) 인천광역시 계양구 계양대로 27(작전동),37.5269367,126.7196645,"49,129㎡","22,684㎡","18,735㎡",2001-06-27
3,인천광역시,계양구,㈜이마트,㈜이마트계양점,대형마트,(21080) 인천광역시 계양구 봉오대로 785(작전동) 인천광역시 계양구 봉오대로 785(작전동),37.5318481,126.7374473,"40,467㎡","19,757㎡","13,534㎡",2002-04-19
4,인천광역시,계양구,롯데쇼핑(주) 롯데마트 계양점,롯데쇼핑(주) 롯데마트 계양점,대형마트,(21060) 인천광역시 계양구 장제로 822 (계산동),37.5401551,126.736462,"56,715.31㎡","34,520㎡","34,520㎡",2012-08-01
5,인천광역시,남동구,공장용품상가자치위원회,공장용품상가,그 밖의 대규모점포,인천광역시 남동구 남동서로 226(논현동),37.4097288,126.6940775,4956㎡,4956㎡,3269㎡,1994-12-08
6,인천광역시,남동구,한국산업단지공단,남동후생시설,그 밖의 대규모점포,(21632) 인천광역시 남동구 남동대로239번길 68 (논현동) 남동후생시설,37.4083612,126.695941,,4265㎡,3631㎡,1995-07-01
7,인천광역시,남동구,소래포구종합어시장,소래포구종합어시장,그 밖의 대규모점포,(21673) 인천광역시 남동구 소래역로 12(논현동),37.3987623,126.7371284,22388㎡,13606㎡,12219㎡,2011-09-30
8,인천광역시,남동구,홈플러스 주식회사,홈플러스(주)구월점,대형마트,(21558) 인천광역시 남동구 예술로 198(구월동),37.4518769,126.7029388,82294㎡,20082㎡,12117㎡,1999-06-24
9,인천광역시,남동구,홈플러스,홈플러스(주) 간석점,대형마트,(21500) 인천광역시 남동구 경원대로 971 (간석동) 경원대로 971(간석동),37.4695541,126.6890144,42745㎡,37251㎡,32550㎡,2001-06-12
10,인천광역시,남동구,홈플러스주식회사,홈플러스(주)인천 논현점,대형마트,(21667) 인천광역시 남동구 청능대로 596 (논현동) 청능대로 596(논현동),37.3996817,126.7274151,119755㎡,23515㎡,17949㎡,2010-07-08
11,인천광역시,남동구,동보올리브백화점,동보올리브백화점,백화점,(21545) 인천광역시 남동구 남동대로 880(간석동),37.4621807,126.7112348,20396㎡,18851㎡,15747㎡,1980-03-11
12,인천광역시,남동구,이랜드리테일,뉴코아아울렛 인천점,전문점,(21574) 인천광역시 남동구 인하로 485(구월동),37.4445634,126.7017007,56976㎡,37233㎡,"29,033.02㎡",1995-12-17
13,인천광역시,남동구,이랜드리테일,뉴코아아울렛 논현점,전문점,(21667) 인천광역시 남동구 청능대로 596(논현동),37.3996817,126.7274151,"119,755㎡","10,060.8㎡","8,147.48㎡",2010-06-30
14,인천광역시,동구,인천송림공구시장,인천송림공구시장,그 밖의 대규모점포,(22531) 인천광역시 동구 봉수대로 98(송림동),37.4827591,126.6619091,"15,052㎡","15,052㎡","10,757㎡",1994-06-28
15,인천광역시,동구,인천산업유통사업협동조합,인천산업유통사업협동조합,그 밖의 대규모점포,(22530) 인천광역시 동구 방축로83번길 23(송림동),37.4859215,126.6550755,"265,710㎡","265,710㎡","123,432㎡",1997-08-14
16,인천광역시,동구,㈜이마트,이마트 트레이더스 송림점,대형마트,(22531) 인천광역시 동구 봉수대로 82,37.4827591,126.6619091,"37,459㎡","37,459㎡","12,123㎡",1996-01-13
17,인천광역시,미추홀구,삼화복합빌딩(동아탑월드),삼화복합빌딩(동아탑월드),그 밖의 대규모점포,"(22177) 인천광역시 미추홀구 독배로 443(숭의동, 삼화복합빌딩)",37.4588237,126.648164,"31,070㎡","8,598㎡","1,808㎡",1998-02-10
18,인천광역시,미추홀구,태흥프라자,태흥프라자,그 밖의 대규모점포,(22144) 인천광역시 미추홀구 경원대로 848 (주안동),37.459598,126.6920681,"12,015.23㎡","3,563㎡","2,230.46㎡",2008-07-11
19,인천광역시,미추홀구,신주안종합재건축조합,보미리즌빌,그 밖의 대규모점포,"(22143) 인천광역시 미추홀구 경원대로 890 (주안동, 보미 리즌빌)",37.4623797,126.6901061,"18,515㎡","6,882㎡","4,033.64㎡",2013-01-21
20,인천광역시,미추홀구,네오밸류 디앤씨(유),앨리웨이 인천,그 밖의 대규모점포,"(22101) 인천광역시 미추홀구 숙골로87번길 5(도화동, 더샵 인천스카이타워 2단지)",37.4701952,126.6649316,"56,781.44㎡","30,010.7㎡","20,973.16㎡",2021-03-25
