,법정동코드,동이름
0,28110118,항동7가
1,28110120,송학동2가
2,28110125,답동
3,28110128,신흥동3가
4,28110137,전동
5,28110145,중산동
6,28110146,운남동
7,28110147,운서동
8,28110148,운북동
9,28110150,남북동
10,28140102,화수동
11,28140103,송현동
12,28140105,창영동
13,28140107,송림동
14,28177101,숭의동
15,28177102,용현동
16,28177103,학익동
17,28177104,도화동
18,28177105,주안동
19,28177106,관교동
20,28177107,문학동
21,28185101,옥련동
22,28185102,선학동
23,28185103,연수동
24,28185104,청학동
25,28185105,동춘동
26,28185106,송도동
27,28200101,구월동
28,28200102,간석동
29,28200103,만수동
30,28200105,서창동
31,28200107,남촌동
32,28200109,도림동
33,28200110,논현동
34,28237101,부평동
35,28237102,십정동
36,28237103,산곡동
37,28237104,청천동
38,28237105,삼산동
39,28237106,갈산동
40,28237107,부개동
41,28237108,일신동
42,28237109,구산동
43,28245101,효성동
44,28245102,계산동
45,28245103,작전동
46,28245104,서운동
47,28245106,용종동
48,28245107,병방동
49,28245109,박촌동
50,28245110,동양동
51,28245111,귤현동
52,28245112,상야동
53,28245123,장기동
54,28260103,검암동
55,28260104,경서동
56,28260105,공촌동
57,28260106,연희동
58,28260107,심곡동
59,28260108,가정동
60,28260109,신현동
61,28260110,석남동
62,28260112,가좌동
63,28260113,마전동
64,28260114,당하동
65,28260115,원당동
66,28260118,금곡동
67,28260119,오류동
68,28260120,왕길동
69,28260121,불로동
70,28260122,청라동
71,28710250,강화읍
72,28710310,선원면
73,28710320,불은면
74,28710330,길상면
75,28710340,화도면
76,28710350,양도면
77,28710360,내가면
78,28710370,하점면
79,28710380,양사면
80,28710390,송해면
81,28710400,교동면
82,28710410,삼산면
83,28710420,서도면
84,28720310,북도면
85,28720330,백령면
86,28720340,대청면
87,28720360,영흥면
88,28720370,자월면
