ㄱ,주소,Latitude,Longitude
서운고등학교,인천광역시 계양구 아나지로 481(서운동),37.5265092,126.7458689
가정고등학교,인천광역시 서구 서달로 162(석남동),37.512787,126.6796717
가림고등학교,인천광역시 서구 원적로 58(가좌동),37.4924489,126.68108
인천예일고등학교,인천광역시 계양구 박촌로 23(방축동),37.5538054,126.7417025
인천논현고등학교,인천광역시 남동구 청능대로611번길 54. 인천논현고등학교 (논현동),37.4043339,126.7272265
인천상정고등학교,인천광역시 부평구 경원대로 1109(십정동),37.4774014,126.6997756
인천세원고등학교,인천광역시 계양구 장제로 966(병방동.인천세원고등학교),37.5515064,126.7444904
강화고등학교,인천광역시 강화군 강화읍 고비고개로 20(강화읍),37.7484694,126.4724674
강화여자고등학교,인천광역시 강화군 강화읍 송악길 58(강화읍),37.7546656,126.478954
검단고등학교,인천광역시 서구 검단로540번길 7(마전동),37.6038049,126.6650741
계산고등학교,인천광역시 계양구 주부토로 588(계산동.계산고등학교),37.5469338,126.7296607
계산여자고등학교,인천광역시 계양구 계산새로 131(용종동),37.5388301,126.7423184
교동고등학교,인천광역시 강화군 교동면 교동남로 77(교동면. 교동중고등학교),37.7778854,126.2838104
동인천고등학교,인천광역시 남동구 만수로75번길 71-15(만수동.동인천고등학교),37.4663038,126.7350411
인천아라고등학교,인천광역시 서구 서로2로 62(당하동. 인천아라고등학교),37.5872638,126.7038952
백석고등학교,인천광역시 서구 서곶로 701(백석동),37.579213,126.6688563
부개여자고등학교,인천광역시 부평구 부흥로 433(부개동),37.497978,126.7405391
부광고등학교,인천광역시 부평구 화랑로 28(산곡동),37.4881233,126.7034467
부광여자고등학교,인천광역시 부평구 충선로 143(부개동),37.5021496,126.7354699
계양고등학교,인천광역시 계양구 계양문화로 177계양고등학교,37.5417864,126.7438976
부평여자고등학교,인천광역시 부평구 부흥로243번길 44(부평동),37.5005587,126.7196623
인제고등학교,인천광역시 남동구 석산로197번길 19. 인제고등학교 (간석동),37.4613927,126.7129504
석정여자고등학교,인천광역시 남동구 방축로469번길 27(간석동. 석정여자고등학교),37.4686806,126.6946944
인천중산고등학교,인천광역시 중구 은하수로 142(중산동. 인천중산고등학교),37.4977649,126.5698382
부평고등학교,인천광역시 부평구 부흥북로 43(부평동),37.5022821,126.7277465
인명여자고등학교,인천광역시 미추홀구 문화로 11(관교동),37.4399315,126.6974483
삼산고등학교,인천광역시 부평구 영성중로 54(삼산동. 삼산고등학교),37.5213554,126.7459147
인화여자고등학교,인천광역시 미추홀구 석정로 165. 인화여자고등학교 (도화동),37.4697791,126.6534392
서도고등학교,인천광역시 강화군 서도면 주문도길 173(서도면),37.6475985,126.2518011
인천송천고등학교,인천광역시 남동구 앵고개로815번길 59(논현동),37.3958497,126.7218848
인천초은고등학교,인천광역시 서구 청라에메랄드로 42(연희동. 초은고등학교),37.5290504,126.6571489
인천청라고등학교,인천광역시 서구 담지로86번길 16-14(연희동.청라고등학교),37.5369893,126.6607886
인천하늘고등학교,인천광역시 중구 영종대로277번길 117. 인천하늘고등학교 (운서동),37.4955998,126.5073018
인천연송고등학교,인천광역시 연수구 컨벤시아대로42번길 72(송도동),37.4029514,126.646603
인천영종고등학교,인천광역시 중구 영종대로278번길 34(운서동),37.485266,126.5013509
인천해원고등학교,인천광역시 서구 청라사파이어로140번길 25(청라동. 인천해원고등학교),37.5279966,126.6276018
인천포스코고등학교,인천광역시 연수구 컨벤시아대로42번길 50(송도동),37.4015917,126.6485268
선인고등학교,인천광역시 미추홀구 석정로 165(도화동),37.470912,126.6549266
연수고등학교,인천광역시 연수구 원인재로 145(연수동),37.4114978,126.6799379
연수여자고등학교,인천광역시 연수구 먼우금로141번길 9(동춘동),37.4110187,126.6717804
백령고등학교,인천광역시 옹진군 백령면 백령로 708(백령면),37.9652026,124.6784662
인천고등학교,인천광역시 미추홀구 경원대로 804(주안동. 인천고등학교),37.4542123,126.6906918
인천공항고등학교,인천광역시 중구 신도시북로 20(운서동),37.4974361,126.4860588
인천남고등학교,인천광역시 남동구 석정로551번길 41(간석동),37.4680865,126.6960415
인천여자고등학교,인천광역시 연수구 비류대로506번길 14(연수동) 인천여자고등학교,37.422241,126.6896458
제물포고등학교,인천광역시 중구 자유공원로 58-9(전동),37.4771704,126.6261108
학익고등학교,인천광역시 미추홀구 한나루로 358번길 23-22(학익동),37.4390811,126.6638477
학익여자고등학교,인천광역시 미추홀구 주승로52번길 8(학익동. 학익여자고등학교),37.4435768,126.675711
인천해송고등학교,인천광역시 연수구 해송로 20(송도동),37.3825616,126.6460248
인천고잔고등학교,인천광역시 남동구 에코중앙로 117. 인천고잔고등학교 (논현동. 고잔고등학교),37.389052,126.7224439
인천효성고등학교,인천광역시 계양구 새벌로171번길 21(효성동),37.5318297,126.715132
인천영선고등학교,인천광역시 부평구 체육관로 179(삼산동),37.5160574,126.7444498
인천원당고등학교,인천광역시 서구 고산로40번길 30(원당동),37.5969856,126.7046895
광성고등학교,인천광역시 중구 참외전로244번길 47(도원동),37.4673467,126.6398832
산마을고등학교,인천광역시 강화군 양도면 강화남로1002번길 73-29. 산마을고등학교 (양도면),37.6866385,126.4254844
인천대건고등학교,인천광역시 연수구 능허대로 437(동춘동. 인천대건고등학교),37.4019938,126.6651436
대인고등학교,인천광역시 서구 서곶로 446(공촌동),37.5511867,126.6946273
덕신고등학교,인천광역시 강화군 강화읍 고비고개로 45(강화읍. 덕신고등학교),37.7448662,126.4733851
동산고등학교,인천광역시 동구 동산로 58. 동산고등학교 (송림동),37.4735641,126.6489489
인일여자고등학교,인천광역시 중구 참외전로72번길 10(전동),37.4775988,126.6265017
명신여자고등학교,인천광역시 부평구 원적로 260(산곡동.명신여자고등학교),37.5041207,126.6944712
인천산곡고등학교,인천광역시 부평구 원적로416번길 25(산곡동),37.5029815,126.7131952
문일여자고등학교,인천광역시 남동구 구월로372번길 56(만수동),37.4523151,126.7308761
박문여자고등학교,인천광역시 연수구 송도과학로51번길 16(송도동. 박문여자고등학교),37.3827057,126.6660438
서인천고등학교,인천광역시 서구 서곶로 475(검암동),37.562955,126.6656923
인천마전고등학교,인천광역시 서구 마전로 74(마전동. 인천마전고등학교),37.6109337,126.6641504
세일고등학교,인천광역시 부평구 원적로 245(산곡동),37.5058207,126.6934481
송도고등학교,인천광역시 연수구 독배로 91(옥련동),37.4312049,126.6470128
숭덕여자고등학교,인천광역시 남동구 만수로73번길 20-23(만수동. 숭덕여자고등학교),37.4642746,126.7342382
신명여자고등학교,인천광역시 남동구 용천로205번길 42. 신명여자고등학교 (간석동),37.4689865,126.7129426
인성여자고등학교,인천광역시 중구 홍예문로 39(송학동2가),37.4739535,126.6246265
인하대학교사범대학부속고등학교,인천광역시 미추홀구 재넘이길123번길 29. 인하대학교사범대학부속중고등학교 (학익동. 인하사범대부속중고등학교),37.446861,126.6623472
제일고등학교,인천광역시 부평구 경인로759번길 28(십정동),37.4783233,126.7088255
인항고등학교,인천광역시 미추홀구 매소홀로 135(용현동. 인항고등학교),37.4468471,126.6406814
