ㄱ,주소,Latitude,Longitude
인천공항중학교,인천광역시 중구 영종대로27번길 49. 인천공항중학교 (운서동. 인천공항중학교),37.4978744,126.4840511
관교중학교,인천광역시 미추홀구 경원대로670번길 19(관교동. 관교중학교),37.4439203,126.692125
관교여자중학교,인천광역시 미추홀구 경원대로 691(관교동. 관교여자중학교),37.4451615,126.6887225
인천남중학교,인천광역시 미추홀구 수봉로 16-23(숭의동. 인천남 중학교),37.4643263,126.6544585
남인천여자중학교,인천광역시 미추홀구 인하로 426(관교동. 남인천여자중학교),37.4451002,126.6941395
신흥여자중학교,인천광역시 중구 인항로24번길 37(신흥동3가. 신흥여자중학교),37.4541874,126.6312023
선인중학교,인천광역시 미추홀구 석정로 165. 선인중학교 (도화동),37.4716473,126.6536119
백령중학교,인천광역시 옹진군 백령면 백령로 708(백령면. 백령고등학교. 백령중학교),37.9646424,124.6759085
선화여자중학교,인천광역시 미추홀구 석정로 165. 선화여자중학교 (도화동),37.4710142,126.6535748
신흥중학교,인천광역시 중구 인항로24번길 38(신흥동3가),37.4540125,126.6299472
영종중학교,인천광역시 중구 남디로 92(운남동. 영종중학교),37.4834042,126.5247306
용유중학교,인천광역시 중구 남북로87번길 4(남북동),37.4480061,126.4124672
용현중학교,인천광역시 미추홀구 낙섬동로 16(용현동. 용현중학교),37.4475434,126.6395337
용현여자중학교,인천광역시 미추홀구 낙섬동로 28(용현동. 용현여자중학교),37.4485988,126.640478
인화여자중학교,인천광역시 미추홀구 석정로 165(도화동),37.470912,126.6549266
제물포여자중학교,인천광역시 미추홀구 인주대로470번길 20(주안동. 제물포여자중학교),37.450259,126.6892245
화도진중학교,인천광역시 동구 화수로 64(화수동. 화도진중학교),37.4844163,126.6322862
인주중학교,인천광역시 미추홀구 매소홀로 335(학익동. 인주중학교),37.4425443,126.6596707
광성중학교,인천광역시 중구 참외전로244번길 47. 광성중학교 (도원동),37.4675131,126.6395609
인천재능중학교,인천광역시 동구 재능로 178(송림동),37.4751658,126.6496564
동산중학교,인천광역시 동구 동산로 58동산중학교 (송림동. 동산중학교.동산고등학교),37.4735637,126.6478109
송도중학교,인천광역시 중구 제물량로 123송도중학교,37.4686164,126.6292058
인성여자중학교,인천광역시 중구 홍예문로 39. 인성여자중학교 (송학동2가. 인성여자고등학교.인성여자중학교),37.473325,126.6248055
인하대학교사범대학부속중학교,인천광역시 미추홀구 재넘이길123번길 29. 인하대학교사범대학부속중학교 (학익동. 인하사범대부속중고등학교),37.446861,126.6623472
인천중산중학교,인천광역시 중구 두미포로 189(중산동. 인천중산중학교),37.4981452,126.5712753
인천하늘중학교,인천광역시 중구 찬들로284번길 16(운남동),37.4837075,126.5432722
구산중학교,인천광역시 부평구 수변로 199(부개동. 구산중학교),37.5042545,126.741829
인천상정중학교,인천광역시 부평구 경원대로 1083(십정동. 상정중학교),37.4789039,126.6942893
갈산중학교,인천광역시 부평구 주부토로 166(갈산동. 갈산중학교),37.5097535,126.7265994
동암중학교,인천광역시 부평구 동암산로 43번길 12(십정동),37.4739238,126.7057956
부광중학교,인천광역시 부평구 충선로 140. 부광중학교 (부개동),37.5012607,126.7368838
부원중학교,인천광역시 부평구 경원대로 1339(부평동. 인천 부원중학교),37.4919611,126.7171452
부원여자중학교,인천광역시 부평구 부영로 88(부평동. 부원여자중학교),37.4928978,126.7171262
부일중학교,인천광역시 부평구 영성로 3(삼산동. 부일중학교),37.52044,126.7404735
부일여자중학교,인천광역시 부평구 동수로 8(부평동. 부일여자중학교),37.4847127,126.7202717
부평중학교,인천광역시 부평구 부흥북로57번길 10(부평동. 부평중학교),37.5018579,126.7294561
부평서중학교,인천광역시 부평구 화랑로 29(산곡동 310-23. 부평서중학교),37.4870371,126.703411
부평서여자중학교,인천광역시 부평구 경원대로 1213(십정동. 부평서여자중학교),37.4855442,126.705502
부평여자중학교,인천광역시 부평구 부평문화로 193-1(부개동. 부평여자중학교),37.4953112,126.7388084
부흥중학교,인천광역시 부평구 충선로 152(부개동. 인천부흥중학교),37.5028031,126.7371047
산곡중학교,인천광역시 부평구 원적로300번길 14(산곡동. 산곡중학교),37.5037297,126.6988061
산곡남중학교,인천광역시 부평구 안남로 187(산곡동. 산곡남중학교),37.4996292,126.7075638
산곡여자중학교,인천광역시 부평구 마장로204번길 37(산곡동. 산곡여자중학교),37.497094,126.7053037
청천중학교,인천광역시 부평구 마장로364번길 23(청천동. 청천중학교),37.5114425,126.704939
삼산중학교,인천광역시 부평구 충선로 308.삼산중학교 (삼산동),37.5164342,126.7360714
진산중학교,인천광역시 부평구 충선로234번길 70(삼산동. 진산중학교),37.50952,126.7403711
부평동중학교,인천광역시 부평구 수변로107번길 4(부개동. 부평동중학교),37.4962642,126.7406357
간석여자중학교,인천광역시 남동구 간석로25번길 13(간석동. 간석여자중학교),37.4685408,126.7107586
구월중학교,인천광역시 남동구 남동대로 814(구월동),37.4360732,126.7067645
구월여자중학교,인천 남동구 성말로13번길 78. 구월여자중학교 (구월동.구월여자중학교),37.448961,126.7032496
남동중학교,인천광역시 남동구 담방로 7(만수동. 남동중학교),37.4400738,126.7379687
논곡중학교,인천광역시 남동구 논곡로 84(논현동. 논곡중학교),37.4145487,126.7120831
동인천중학교,인천광역시 남동구 구월남로57번길 12(구월동. 동인천중학교),37.4543213,126.6970557
