ㄱ,주소,Latitude,Longitude
인천용학초등학교,인천광역시 미추홀구 용정공원로83번길 9. 인천용학초등학교 (용현동. 인천 용학초등학교),37.4465277,126.6436841
인천남부초등학교이작분교장,인천광역시 옹진군 자월면 대이작로 60(자월면. 인천남부초등학교이작분교),37.1766066,126.2528218
대청초등학교소청분교장,인천광역시 옹진군 대청면 소청동로 69-13(대청면. 대청초등학교소청분교),37.773811,124.7514806
인천공항초등학교,인천광역시 중구 신도시남로 43(운서동. 공항초등학교),37.4918963,126.4859086
인천관교초등학교,인천광역시 미추홀구 인하로 414. 인천관교초등학교 (관교동. 인천관교초등학교),37.4462389,126.6927507
인천남부초등학교,인천광역시 미추홀구 인주대로366번길 22(주안동. 남부초등학교),37.4503214,126.6763911
인천삼목초등학교장봉분교장,인천광역시 옹진군 북도면 장봉로 553(북도면. 인천삼목초등학교장봉분교),37.5338128,126.336982
인천영종초등학교금산분교장,인천광역시 중구 백운로414번길 63-50(운북동. 금산초등학교),36.1190235,127.4782791
대청초등학교,인천광역시 옹진군 대청면 대청로244번길 110(대청면. 대청초등학교),37.8328905,124.6961668
인천대화초등학교,인천광역시 미추홀구 석정로301번길 13(도화동. 대화초등학교),37.4688635,126.6686835
인천도화초등학교,인천광역시 미추홀구 경인로 242(도화동. 도화초등학교),37.4638148,126.6687121
인천송림초등학교,인천광역시 동구 화도진로 10(송림동),37.4741447,126.6375402
인천만석초등학교,인천광역시 동구 제물량로 412(화수동. 만석초등학교),37.4843016,126.6285841
인천문학초등학교,인천광역시 미추홀구 매소홀로 553(문학동. 문학초등학교),37.4398784,126.6829463
백령초등학교,인천광역시 옹진군 백령면 백령로316번길 91(백령면. 백령초등학교),37.9757364,124.7183993
인천백학초등학교,인천광역시 미추홀구 매소홀로446번길 25(학익동. 백학초등학교),37.4383506,126.6722252
인천공항초등학교신도분교장,인천광역시 옹진군 북도면 신도로896번길 18-31(북도면.인천공항초등학교신도분교),37.5203132,126.4430364
북포초등학교,인천광역시 옹진군 백령면 가을길 117(백령면. 북포초등학교),37.9585748,124.6632377
인천별빛초등학교,인천광역시 중구 은하수로 402. 인천별빛초등학교 (운남동),37.490509,126.5500584
인천서림초등학교,인천광역시 동구 금곡로 105(송림동.서림초등학교),37.4752068,126.6466989
인천서화초등학교,인천광역시 미추홀구 송림로 250(도화동. 서화초등학교),37.4741942,126.6609689
인천서흥초등학교,인천광역시 동구 샛골로 189(송림동),37.4793012,126.6446728
인천석암초등학교,인천광역시 미추홀구 주안동로 46(주안동. 석암초등학교),37.461163,126.6870438
인천용유초등학교무의분교장,인천광역시 중구 대무의로 302-17(무의동. 용유초등학교무의분교),37.3874761,126.4287792
인천송월초등학교,인천광역시 중구 자유공원로 106-8(전동. 인천송월초등학교),37.4789335,126.6245538
인천용현남초등학교자월분교장,인천광역시 옹진군 자월면 자월서로 177(자월면. 용현남초등학교자월분교),37.253752,126.3064431
인천송현초등학교,인천광역시 동구 송화로 45(송현동. 송현초등학교),37.4817057,126.6333389
