ㄱ,주소
인천공항중학교,인천광역시 중구 영종대로27번길 49. 인천공항중학교 (운서동. 인천공항중학교)
관교중학교,인천광역시 미추홀구 경원대로670번길 19(관교동. 관교중학교)
관교여자중학교,인천광역시 미추홀구 경원대로 691(관교동. 관교여자중학교)
인천남중학교,인천광역시 미추홀구 수봉로 16-23(숭의동. 인천남 중학교)
남인천여자중학교,인천광역시 미추홀구 인하로 426(관교동. 남인천여자중학교)
신흥여자중학교,인천광역시 중구 인항로24번길 37(신흥동3가. 신흥여자중학교)
선인중학교,인천광역시 미추홀구 석정로 165. 선인중학교 (도화동)
백령중학교,인천광역시 옹진군 백령면 백령로 708(백령면. 백령고등학교. 백령중학교)
선화여자중학교,인천광역시 미추홀구 석정로 165. 선화여자중학교 (도화동)
신흥중학교,인천광역시 중구 인항로24번길 38(신흥동3가)
영종중학교,인천광역시 중구 남디로 92(운남동. 영종중학교)
용유중학교,인천광역시 중구 남북로87번길 4(남북동)
용현중학교,인천광역시 미추홀구 낙섬동로 16(용현동. 용현중학교)
용현여자중학교,인천광역시 미추홀구 낙섬동로 28(용현동. 용현여자중학교)
인화여자중학교,인천광역시 미추홀구 석정로 165(도화동)
제물포여자중학교,인천광역시 미추홀구 인주대로470번길 20(주안동. 제물포여자중학교)
화도진중학교,인천광역시 동구 화수로 64(화수동. 화도진중학교)
인주중학교,인천광역시 미추홀구 매소홀로 335(학익동. 인주중학교)
광성중학교,인천광역시 중구 참외전로244번길 47. 광성중학교 (도원동)
인천재능중학교,인천광역시 동구 재능로 178(송림동)
동산중학교,인천광역시 동구 동산로 58동산중학교 (송림동. 동산중학교.동산고등학교)
송도중학교,인천광역시 중구 제물량로 123송도중학교
인성여자중학교,인천광역시 중구 홍예문로 39. 인성여자중학교 (송학동2가. 인성여자고등학교.인성여자중학교)
인하대학교사범대학부속중학교,인천광역시 미추홀구 재넘이길123번길 29. 인하대학교사범대학부속중학교 (학익동. 인하사범대부속중고등학교)
인천중산중학교,인천광역시 중구 두미포로 189(중산동. 인천중산중학교)
인천하늘중학교,인천광역시 중구 찬들로284번길 16(운남동)
구산중학교,인천광역시 부평구 수변로 199(부개동. 구산중학교)
인천상정중학교,인천광역시 부평구 경원대로 1083(십정동. 상정중학교)
갈산중학교,인천광역시 부평구 주부토로 166(갈산동. 갈산중학교)
동암중학교,인천광역시 부평구 동암산로 43번길 12(십정동)
부광중학교,인천광역시 부평구 충선로 140. 부광중학교 (부개동)
부원중학교,인천광역시 부평구 경원대로 1339(부평동. 인천 부원중학교)
부원여자중학교,인천광역시 부평구 부영로 88(부평동. 부원여자중학교)
부일중학교,인천광역시 부평구 영성로 3(삼산동. 부일중학교)
부일여자중학교,인천광역시 부평구 동수로 8(부평동. 부일여자중학교)
부평중학교,인천광역시 부평구 부흥북로57번길 10(부평동. 부평중학교)
부평서중학교,인천광역시 부평구 화랑로 29(산곡동 310-23. 부평서중학교)
부평서여자중학교,인천광역시 부평구 경원대로 1213(십정동. 부평서여자중학교)
부평여자중학교,인천광역시 부평구 부평문화로 193-1(부개동. 부평여자중학교)
부흥중학교,인천광역시 부평구 충선로 152(부개동. 인천부흥중학교)
산곡중학교,인천광역시 부평구 원적로300번길 14(산곡동. 산곡중학교)
산곡남중학교,인천광역시 부평구 안남로 187(산곡동. 산곡남중학교)
산곡여자중학교,인천광역시 부평구 마장로204번길 37(산곡동. 산곡여자중학교)
