ㄱ,주소
덕적초등학교병설유치원,인천광역시 옹진군 덕적면 덕적남로 15(덕적면. 덕적초중고등학교)
인천용학초등학교병설유치원,인천광역시 미추홀구 용정공원로83번길 9. 인천용학초등학교 (용현동. 인천 용학초등학교)
인천용유초등학교병설유치원,인천광역시 중구 남북로87번길 4(남북동. 용유초등학교)
연평초등학교병설유치원,인천광역시 옹진군 연평면 연평로137번길 101(연평면. 연평초등학교)
인천주안초등학교병설유치원,인천광역시 미추홀구 남주길69번길 16(주안동. 주안초등학교)
인천서흥초등학교병설유치원,인천광역시 동구 샛골로 189(송림동)
인천영종초등학교병설유치원,인천광역시 중구 하늘달빛로 133(중산동. 영종초등학교)
대청초등학교병설유치원,인천광역시 옹진군 대청면 대청로244번길 110대청초등학교 병설유치원 (대청면. 대청초등학교)
인천만석초등학교병설유치원,인천광역시 동구 제물량로 412. 만석초등학교 병설유치원 (화수동. 만석초등학교)
인천문학초등학교병설유치원,인천광역시 미추홀구 매소홀로 553(문학동. 문학초등학교)
북포초등학교병설유치원,인천광역시 옹진군 백령면 가을길 117(백령면. 북포초등학교)
인천삼목초등학교장봉분교장병설유치원,인천광역시 옹진군 북도면 장봉로 553(북도면. 인천삼목초등학교장봉분교)
인천서림초등학교병설유치원,인천광역시 동구 금곡로 105(송림동)
인천대화초등학교병설유치원,인천광역시 미추홀구 석정로301번길 13(도화동. 대화초등학교)
인천송림초등학교병설유치원,인천광역시 동구 화도진로 10(송림동. 송림초등학교)
인천도화초등학교병설유치원,인천광역시 미추홀구 경인로 242(도화동. 도화초등학교)
인천서화초등학교병설유치원,인천광역시 미추홀구 송림로 250(도화동. 서화초등학교)
인천송월초등학교병설유치원,인천광역시 중구 자유공원로 106-8(전동. 인천송월초등학교)
인천송현초등학교병설유치원,인천광역시 동구 송화로 45(송현동. 송현초등학교)
인천숭의초등학교병설유치원,인천광역시 미추홀구 장천로 99(숭의동. 숭의초등학교)
인천공항초등학교신도분교장병설유치원,인천광역시 옹진군 북도면 신도로896번길 18-31(북도면. 인천공항초등학교신도분교)
인천별빛초등학교병설유치원,인천광역시 중구 은하수로 402. 인천별빛초등학교병설유치원 (운남동)
영흥초등학교병설유치원,인천광역시 옹진군 영흥면 영흥로 440-8(영흥면. 영흥초등학교)
인천신선초등학교병설유치원,인천광역시 중구 축항대로291번길 33(신흥동3가. 신선초등학교)
인천신흥초등학교병설유치원,인천광역시 중구 제물량로 134(답동. 인천신흥초병설유치원)
인천용일초등학교병설유치원,인천광역시 미추홀구 인주대로 244(용현동. 용일초등학교)
인천용정초등학교병설유치원,인천광역시 미추홀구 독정안길 26(숭의동. 용정초등학교)
인천용현남초등학교자월분교장병설유치원,인천광역시 옹진군 자월면 자월서로 177. 인천용현남초등학교자월분교장병설유치원(자월면. 용현남초등학교자월분교)
