,Unnamed: 0,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적",lat,lon,법정동코드
46,46,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,간석여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19840301,215-10 ,인천광역시 남동구 간석로25번길 13 (간석동. 간석여자중학교),032-429-5969,032-629-7667,http://ganseok.icems.kr/,15,5,4,6,0,0,0,277,0,277,91,0,91,78,0,78,108,0,108,0,0,0,0,0,0,0,0,0,18.5,31,6,25,23,4,19,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,7.0,9.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,6,8.9,16,4,12,4,2,2,14,16,4,6,0,0,11138,40.2,126.710288011973,37.4683755916118,28200102
47,47,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,구월중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19810301,215-61 ,인천광역시 남동구 남동대로 814 (구월동),032-460-6503,032-467-5913,http://guwol.icems.kr,33,10,11,12,0,0,0,986,986,0,320,320,0,334,334,0,332,332,0,0,0,0,0,0,0,0,0,0,29.9,61,16,45,48,11,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,35.0,7.0,28.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,5,8,16.2,19,4,15,4,2,2,18,33,1,8,0,0,13884,13.8,126.708755562043,37.4556264232556,28200101
48,48,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,구월여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19900301,215-70 ,인천 남동구 성말로13번길 78 . 구월여자중학교  (구월동.구월여자중학교),032-433-4005,032-435-0467,http://gwg.icems.kr,27,9,9,9,0,0,0,737,0,737,246,0,246,254,0,254,237,0,237,0,0,0,0,0,0,0,0,0,27.3,52,8,44,42,6,36,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,4.0,11.0,22.0,2.0,20.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,2,8,14.2,18,3,15,3,2,1,18,27,1,7,0,0,11227,15.0,126.702739148085,37.4485455405517,28200101
49,49,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,남동중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,19920301,215-96 ,인천광역시 남동구 담방로 7 (만수동),032-462-0120,032-468-5326,http://namdong.icems.kr,27,9,8,10,0,0,0,711,362,349,236,119,117,223,115,108,252,128,124,0,0,0,0,0,0,0,0,0,26.3,54,14,40,43,11,32,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,30.0,7.0,23.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,3,8,13.2,16,2,14,3,1,2,17,27,0,9,0,0,11075,15.4,126.738205429344,37.4402678492303,28200103
50,50,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,논곡중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20010108,216-36 ,인천광역시 남동구 논곡로 84 (논현동. 논곡중학교),032-4426-8552,032-629-8559,http://nongok.icems.kr,16,5,5,6,0,0,0,267,159,108,94,59,35,88,49,39,85,51,34,0,0,0,0,0,0,0,0,0,16.7,31,5,26,23,4,19,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,6.0,8.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8,1,7,8.6,11,1,10,4,1,3,11,16,10,7,0,4,10456,39.0,126.712021374235,37.4149216125746,28200110
51,51,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,동인천중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19510830,215-53 ,인천광역시 남동구 구월남로57번길 12 (구월동. 동인천중학교),032-629-7392,032-629-7405,http://donginchon.icems.kr/,20,6,6,8,0,0,0,441,441,0,175,175,0,139,139,0,127,127,0,0,0,0,0,0,0,0,0,0,22.1,42,20,22,29,13,16,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,14.0,6.0,8.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,7,6,10.5,18,4,14,6,3,3,16,21,3,7,0,1,23297,51.4,126.697547062793,37.4548299784894,28200101
53,53,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,만성중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,19940301,215-41 ,인천광역시 남동구 인주대로 899 (만수동. 만성중학교),032-629-8085,032-472-2239,http://manseong.icems.kr/,22,8,7,7,0,0,0,414,197,217,127,66,61,140,58,82,147,73,74,0,0,0,0,0,0,0,0,0,18.8,43,8,35,34,5,29,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,10.0,17.0,2.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9,3,6,9.6,16,3,13,4,2,2,17,21,5,6,0,1,16232,39.6,126.737983429839,37.4492315266079,28200103
54,54,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,만수중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19840301,215-28 ,인천광역시 남동구 인수로 13 (만수동.만수중학교),032-467-1833,032-467-1837,http://mansu.icems.kr/,13,4,4,5,0,0,0,186,186,0,45,45,0,54,54,0,87,87,0,0,0,0,0,0,0,0,0,0,14.3,30,11,19,24,9,15,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,10.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,2,4,6.2,12,0,12,3,0,3,11,16,3,9,0,0,13438,72.2,126.737480041608,37.4548019911002,28200103
55,55,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천사리울중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20110301,216-83 ,인천광역시 남동구 에코중앙로84번길 12 . (논현동) (논현동. 사리울중학교),032-435-1635,032-435-1633,http://sru.icems.kr,25,8,8,9,0,0,0,751,351,400,258,119,139,253,124,129,240,108,132,0,0,0,0,0,0,0,0,0,30.0,49,8,41,36,4,32,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,21.0,3.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,4,9,15.3,19,1,18,3,0,3,20,24,4,6,0,1,11462,15.2,126.720127958134,37.3856969934452,28200110
57,57,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,만수북중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19870304,215-22 ,인천광역시 남동구 만수서로 117 (만수동. 만수북중학교),032-472-3126,032-472-3127,http://mansubuk.icems.kr/,21,7,7,7,0,0,0,540,540,0,206,206,0,176,176,0,158,158,0,0,0,0,0,0,0,0,0,0,25.7,44,7,37,34,6,28,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,9.0,16.0,3.0,13.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,1,9,12.3,14,3,11,3,1,2,14,20,3,9,0,1,15125,27.9,126.739111977004,37.4618884448083,28200103
