,Unnamed: 0,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적",lat,lon,법정동코드
102,102,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천간석초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19720302,215-47 ,인천광역시 남동구 석산로208번길 37 (구월동. 간석초등학교),032-629-3820,032-469-1574,http://igs.icees.kr/,22,3,5,3,3,4,4,493,263,230,69,36,33,81,35,46,85,48,37,73,37,36,84,50,34,101,57,44,22.4,36,10,26,34,9,25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,21.0,5.0,16.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2,1,1,13.7,18,2,16,4,1,3,19,27,0,5,0,0,16067,32.5,126.715467954419,37.4592979007661,28200101
103,103,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천장서초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20150901,216-14 ,인천광역시 남동구 서창남순환로 109 (서창동),032-770-9844,032-441-4901,http://iejs.icees.kr,60,11,11,11,9,9,9,1515,784,731,283,145,138,283,135,148,274,151,123,222,114,108,233,112,121,220,127,93,25.3,83,20,63,78,19,59,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.0,4.0,7.0,60.0,12.0,48.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5,1,4,18.3,27,3,24,5,1,4,28,65,0,3,0,0,12861,8.3,126.745328050722,37.4292163486291,28200105
106,106,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천구월초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19520524,215-63 ,인천광역시 남동구 인주대로 721번길 49 (구월동.구월초등학교),032-629-3700,032-629-3722,http://ikw.icees.kr/,20,3,3,2,3,4,5,389,209,180,62,38,24,63,30,33,50,29,21,61,26,35,75,47,28,78,39,39,19.5,29,4,25,26,4,22,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,5.0,12.0,2.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3,0,3,13.4,20,2,18,4,0,4,20,20,0,6,0,0,13140,33.0,126.716508944134,37.4517215567219,28200101
107,107,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천구월서초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19830301,215-60 ,인천광역시 남동구 문화서로77번길 14 (구월동. 구월서초등학교),032-431-6821,032-431-6825,http://gws.icees.kr,41,6,6,7,8,6,8,968,516,452,154,76,78,145,73,72,168,85,83,178,95,83,150,80,70,173,107,66,23.6,58,12,46,52,10,42,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,5.0,7.0,33.0,4.0,29.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6,2,4,16.7,24,3,21,3,1,2,25,41,0,5,0,12,14321,14.5,126.696413205018,37.4531875036582,28200101
108,108,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천남동초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19920302,215-94 ,인천광역시 남동구 장승남로33번길 10 (만수동.남동초등학교),032-462-0104,032-463-5495,http://namdonges.icees.kr,22,3,4,3,3,5,4,419,220,199,50,27,23,59,30,29,65,33,32,70,34,36,82,42,40,93,54,39,19.0,36,10,26,34,9,25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,17.0,4.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2,1,1,11.6,21,1,20,6,0,6,21,25,4,10,0,6,11487,26.4,126.737080600789,37.4447987063533,28200103
109,109,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천남촌초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20020301,216-27 ,인천광역시 남동구 남촌로 101 (남촌동. 남촌초등학교),032-466-5693,032-466-5735,http://inamchon.icees.kr,24,4,3,5,4,3,5,378,190,188,62,34,28,56,22,34,69,40,29,55,26,29,55,30,25,81,38,43,15.8,37,9,28,31,8,23,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,18.0,4.0,14.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6,1,5,10.2,15,2,13,3,0,3,15,32,2,7,0,9,10838,28.1,126.71319160267,37.4297740857169,28200107
110,110,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천논곡초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19990301,216-37 ,인천광역시 남동구 함박뫼로 429 인천논곡초등학교(논현동),032-446-2988,032-446-2989,http://nongok-e.icees.kr,36,5,5,6,6,7,7,661,355,306,95,49,46,104,56,48,106,59,47,124,62,62,122,65,57,110,64,46,18.4,48,9,39,45,9,36,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,26.0,3.0,23.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3,0,3,13.8,17,1,16,3,0,3,18,39,0,4,0,0,11001,16.5,126.710529700847,37.4105826390659,28200110
113,113,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천담방초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19940301,215-96 ,인천광역시 남동구 매소홀로 1027 (만수동. 담방초등학교),032-468-8074,032-468-2006,http://dambang.icees.kr/,22,3,4,3,4,4,4,467,242,225,63,30,33,75,42,33,77,42,35,81,40,41,93,55,38,78,33,45,21.2,30,9,21,28,9,19,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,3.0,16.0,4.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2,0,2,15.6,16,1,15,3,0,3,16,25,0,6,0,9,11234,23.7,126.736223635533,37.4399490798036,28200103
114,114,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천도림초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19710301,216-56 ,인천광역시 남동구 논고개로334번길 21 (도림동. 도림초등학교),032-441-0095,032-442-2599,http://idorim.icees.kr,22,2,3,5,3,5,4,421,218,203,48,27,21,70,39,31,84,36,48,64,30,34,82,45,37,73,41,32,19.1,32,5,27,29,5,24,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,12.0,1.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3,0,3,13.2,18,3,15,3,0,3,18,26,1,7,0,0,10822,24.9,126.73123448725,37.4188444649176,28200109
118,118,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천한빛초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20120501,216-16 ,인천광역시 남동구 서창남순환로 190-28 (서창동),032-471-6433,032-471-4892,http://ihb.icees.kr,46,6,8,7,8,8,9,1072,572,500,163,93,70,165,93,72,167,95,72,192,91,101,191,96,95,194,104,90,23.3,64,14,50,58,13,45,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,5.0,7.0,41.0,7.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6,1,5,16.8,19,2,17,5,2,3,19,50,0,3,0,0,12021,11.0,126.743883531226,37.4242185414359,28200105
